protocol,similarity,mean_bloom_slices,std_bloom_slices,median_bloom_slices,samples,q75_bloom_slices,q25_bloom_slices
rbf_riblt,0.0,7.5,2.521097420448054,7.5,60,10.0,5.0
rbf_riblt,0.05,6.5,1.5126584522688322,6.5,60,8.0,5.0
rbf_riblt,0.1,6.0,1.0084389681792214,6.0,60,7.0,5.0
rbf_riblt,0.2,5.0,1.0084389681792214,5.0,60,6.0,4.0
rbf_riblt,0.3,4.5,0.5042194840896107,4.5,60,5.0,4.0
rbf_riblt,0.4,4.233333333333333,0.42652186808509857,4.0,60,4.0,4.0
rbf_riblt,0.5,3.5,0.5042194840896107,3.5,60,4.0,3.0
rbf_riblt,0.6,3.0,0.0,3.0,60,3.0,3.0
rbf_riblt,0.7,2.5166666666666666,0.5039392842990978,3.0,60,3.0,2.0
rbf_riblt,0.75,2.0,0.0,2.0,60,2.0,2.0
rbf_riblt,0.8,2.0,0.0,2.0,60,2.0,2.0
rbf_riblt,0.85,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,0.9,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,0.95,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,0.97,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,0.99,1.0,0.0,1.0,60,1.0,1.0
rbf_riblt,1.0,1.0,0.0,1.0,60,1.0,1.0
