run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_merkle_n100000_sim00_t1,merkle,1,0,1,3.4690130000000003,0.0,3469.0130000000004
sweep_merkle_n100000_sim00_t10,merkle,10,0,1,3.377952,0.0,3377.952
sweep_merkle_n100000_sim00_t11,merkle,11,0,1,3.4774010000000004,0.0,3477.4010000000003
sweep_merkle_n100000_sim00_t12,merkle,12,0,1,3.660468,0.0,3660.468
sweep_merkle_n100000_sim00_t13,merkle,13,0,1,3.457356,0.0,3457.3559999999998
sweep_merkle_n100000_sim00_t14,merkle,14,0,1,3.506587,0.0,3506.587
sweep_merkle_n100000_sim00_t15,merkle,15,0,1,3.462403,0.0,3462.4030000000002
sweep_merkle_n100000_sim00_t16,merkle,16,0,1,3.400176,0.0,3400.176
sweep_merkle_n100000_sim00_t17,merkle,17,0,1,3.5339460000000003,0.0,3533.9460000000004
sweep_merkle_n100000_sim00_t18,merkle,18,0,1,3.585181,0.0,3585.181
sweep_merkle_n100000_sim00_t19,merkle,19,0,1,3.118548,0.0,3118.5480000000002
sweep_merkle_n100000_sim00_t2,merkle,2,0,1,3.481888,0.0,3481.888
sweep_merkle_n100000_sim00_t20,merkle,20,0,1,3.254456,0.0,3254.4559999999997
sweep_merkle_n100000_sim00_t21,merkle,21,0,1,3.554174,0.0,3554.174
sweep_merkle_n100000_sim00_t22,merkle,22,0,1,3.379635,0.0,3379.6349999999998
sweep_merkle_n100000_sim00_t23,merkle,23,0,1,3.324339,0.0,3324.339
sweep_merkle_n100000_sim00_t24,merkle,24,0,1,3.391081,0.0,3391.0809999999997
sweep_merkle_n100000_sim00_t25,merkle,25,0,1,3.979128,0.0,3979.128
sweep_merkle_n100000_sim00_t26,merkle,26,0,1,3.210974,0.0,3210.974
sweep_merkle_n100000_sim00_t27,merkle,27,0,1,3.4641490000000004,0.0,3464.1490000000003
sweep_merkle_n100000_sim00_t28,merkle,28,0,1,3.515237,0.0,3515.237
sweep_merkle_n100000_sim00_t29,merkle,29,0,1,3.636871,0.0,3636.871
sweep_merkle_n100000_sim00_t3,merkle,3,0,1,3.460238,0.0,3460.238
sweep_merkle_n100000_sim00_t30,merkle,30,0,1,3.556671,0.0,3556.6710000000003
sweep_merkle_n100000_sim00_t4,merkle,4,0,1,3.990715,0.0,3990.7149999999997
sweep_merkle_n100000_sim00_t5,merkle,5,0,1,3.483194,0.0,3483.194
sweep_merkle_n100000_sim00_t6,merkle,6,0,1,3.619738,0.0,3619.738
sweep_merkle_n100000_sim00_t7,merkle,7,0,1,3.626733,0.0,3626.733
sweep_merkle_n100000_sim00_t8,merkle,8,0,1,3.475404,0.0,3475.404
