run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim00_t1,merkle,1,0,1,495489024,0.0,472.53515625
sweep_merkle_n100000_sim00_t10,merkle,10,0,1,496533504,0.0,473.53125
sweep_merkle_n100000_sim00_t11,merkle,11,0,1,520445952,0.0,496.3359375
sweep_merkle_n100000_sim00_t12,merkle,12,0,1,564346880,0.0,538.203125
sweep_merkle_n100000_sim00_t13,merkle,13,0,1,473055232,0.0,451.140625
sweep_merkle_n100000_sim00_t14,merkle,14,0,1,437862400,0.0,417.578125
sweep_merkle_n100000_sim00_t15,merkle,15,0,1,498290688,0.0,475.20703125
sweep_merkle_n100000_sim00_t16,merkle,16,0,1,511041536,0.0,487.3671875
sweep_merkle_n100000_sim00_t17,merkle,17,0,1,504070144,0.0,480.71875
sweep_merkle_n100000_sim00_t18,merkle,18,0,1,539197440,0.0,514.21875
sweep_merkle_n100000_sim00_t19,merkle,19,0,1,521834496,0.0,497.66015625
sweep_merkle_n100000_sim00_t2,merkle,2,0,1,502915072,0.0,479.6171875
sweep_merkle_n100000_sim00_t20,merkle,20,0,1,525094912,0.0,500.76953125
sweep_merkle_n100000_sim00_t21,merkle,21,0,1,505462784,0.0,482.046875
sweep_merkle_n100000_sim00_t22,merkle,22,0,1,480231424,0.0,457.984375
sweep_merkle_n100000_sim00_t23,merkle,23,0,1,561991680,0.0,535.95703125
sweep_merkle_n100000_sim00_t24,merkle,24,0,1,498204672,0.0,475.125
sweep_merkle_n100000_sim00_t25,merkle,25,0,1,503754752,0.0,480.41796875
sweep_merkle_n100000_sim00_t26,merkle,26,0,1,477327360,0.0,455.21484375
sweep_merkle_n100000_sim00_t27,merkle,27,0,1,572551168,0.0,546.02734375
sweep_merkle_n100000_sim00_t28,merkle,28,0,1,515497984,0.0,491.6171875
sweep_merkle_n100000_sim00_t29,merkle,29,0,1,568365056,0.0,542.03515625
sweep_merkle_n100000_sim00_t3,merkle,3,0,1,492683264,0.0,469.859375
sweep_merkle_n100000_sim00_t30,merkle,30,0,1,579317760,0.0,552.48046875
sweep_merkle_n100000_sim00_t4,merkle,4,0,1,529080320,0.0,504.5703125
sweep_merkle_n100000_sim00_t5,merkle,5,0,1,575913984,0.0,549.234375
sweep_merkle_n100000_sim00_t6,merkle,6,0,1,555507712,0.0,529.7734375
sweep_merkle_n100000_sim00_t7,merkle,7,0,1,555524096,0.0,529.7890625
sweep_merkle_n100000_sim00_t8,merkle,8,0,1,471019520,0.0,449.19921875
sweep_merkle_n100000_sim00_t9,merkle,9,0,1,556728320,0.0,530.9375
sweep_merkle_n100000_sim05_t1,merkle,1,0.05,1,517120000,0.05,493.1640625
sweep_merkle_n100000_sim05_t10,merkle,10,0.05,1,524492800,0.05,500.1953125
sweep_merkle_n100000_sim05_t11,merkle,11,0.05,1,473317376,0.05,451.390625
sweep_merkle_n100000_sim05_t12,merkle,12,0.05,1,411598848,0.05,392.53125
sweep_merkle_n100000_sim05_t13,merkle,13,0.05,1,454860800,0.05,433.7890625
sweep_merkle_n100000_sim05_t14,merkle,14,0.05,1,503422976,0.05,480.1015625
sweep_merkle_n100000_sim05_t15,merkle,15,0.05,1,517959680,0.05,493.96484375
sweep_merkle_n100000_sim05_t16,merkle,16,0.05,1,458883072,0.05,437.625
sweep_merkle_n100000_sim05_t17,merkle,17,0.05,1,465723392,0.05,444.1484375
sweep_merkle_n100000_sim05_t18,merkle,18,0.05,1,463572992,0.05,442.09765625
sweep_merkle_n100000_sim05_t19,merkle,19,0.05,1,530718720,0.05,506.1328125
sweep_merkle_n100000_sim05_t2,merkle,2,0.05,1,490311680,0.05,467.59765625
sweep_merkle_n100000_sim05_t20,merkle,20,0.05,1,481746944,0.05,459.4296875
sweep_merkle_n100000_sim05_t21,merkle,21,0.05,1,493608960,0.05,470.7421875
sweep_merkle_n100000_sim05_t22,merkle,22,0.05,1,521990144,0.05,497.80859375
sweep_merkle_n100000_sim05_t23,merkle,23,0.05,1,523849728,0.05,499.58203125
sweep_merkle_n100000_sim05_t24,merkle,24,0.05,1,514183168,0.05,490.36328125
sweep_merkle_n100000_sim05_t25,merkle,25,0.05,1,488931328,0.05,466.28125
sweep_merkle_n100000_sim05_t26,merkle,26,0.05,1,540852224,0.05,515.796875
sweep_merkle_n100000_sim05_t27,merkle,27,0.05,1,479588352,0.05,457.37109375
