similarity,riblt_mean_rss_memory_mb,merkle_mean_rss_memory_mb,riblt_std_rss_memory_mb,merkle_std_rss_memory_mb,riblt_samples,merkle_samples,riblt_minus_merkle_mb,riblt_to_merkle_ratio
0.0,439.14153645833335,495.5717447916667,14.586407482032316,34.766885745182606,30,30,-56.430208333333326,0.8861311022543144
0.05,416.564453125,472.9087239583333,12.111996368366635,29.30182171749574,30,30,-56.344270833333326,0.8808559284723669
0.1,389.1783854166667,450.9557291666667,12.890335776427099,32.88628556288892,30,30,-61.77734375,0.8630079634110426
0.2,356.86302083333334,421.39088541666666,11.563919565942818,23.254739663582743,30,30,-64.52786458333333,0.8468693395692959
0.3,315.17278645833335,382.23125,8.119963033998184,20.462602964312595,30,30,-67.05846354166664,0.8245604891236218
0.4,286.1127604166667,356.16953125,9.779330400653807,22.141513677091968,30,30,-70.0567708333333,0.8033049862871073
0.5,261.35950520833336,339.8606770833333,12.517276604808993,21.592410318137322,30,30,-78.50117187499995,0.7690195507503459
0.6,238.49283854166666,330.0296875,9.202709408892185,14.504045921245586,30,30,-91.53684895833337,0.7226405610606368
0.7,210.8296875,305.56080729166666,8.308006560024761,16.15785576996673,30,30,-94.73111979166666,0.6899762092157223
0.75,191.712109375,284.5678385416667,5.9640708520283265,17.810466958619703,30,30,-92.85572916666666,0.6736956303898318
0.8,178.07890625,271.133984375,6.864049140542709,18.673110411434347,30,30,-93.05507812500002,0.6567930119881342
0.85,168.21276041666667,268.79010416666665,4.905928336550418,18.118764775838827,30,30,-100.57734374999998,0.625814558680197
0.9,163.20442708333334,259.05377604166665,6.041001228278985,15.393093530268013,30,30,-95.84934895833331,0.6300021160744759
0.95,158.85104166666667,250.690234375,5.971272832164725,16.48179711870155,30,30,-91.83919270833331,0.633654685682914
0.97,156.86744791666666,255.108203125,5.182690110058167,18.6851244446333,30,30,-98.24075520833333,0.6149055420213339
0.99,156.21861979166667,256.79375,6.000601682054772,15.592216766712859,30,30,-100.57513020833332,0.6083427645402845
1.0,157.282421875,123.94153645833333,4.49854920484302,0.145025451579461,30,30,33.34088541666668,1.269004938694424
