similarity,base_mean,base_min,base_max,filt_mean,filt_min,filt_max,reduction
0.0,200000.0,200000.0,200000.0,3221.266666666667,3070.0,3380.0,62.08737763612657
0.05,180954.0,180954.0,180954.0,3183.1666666666665,3088.0,3288.0,56.847164773024765
0.1,163638.0,163638.0,163638.0,3189.6,3071.0,3330.0,51.30361173814899
0.2,133334.0,133334.0,133334.0,5232.133333333333,5095.0,5381.0,25.483677785989144
0.3,107694.0,107694.0,107694.0,5044.066666666667,4833.0,5268.0,21.350629782847175
0.4,85716.0,85716.0,85716.0,4753.866666666667,3970.0,5534.0,18.03079598362035
0.5,66668.0,66668.0,66668.0,6257.5,6119.0,6454.0,10.654095085896923
0.6,50000.0,50000.0,50000.0,6243.966666666666,6099.0,6378.0,8.007730128817686
0.7,35296.0,35296.0,35296.0,6553.6,4469.0,6766.0,5.3857421875
0.75,28572.0,28572.0,28572.0,7147.3,6976.0,7254.0,3.9975934968449622
0.8,22224.0,22224.0,22224.0,5558.8,5394.0,5698.0,3.997985176656832
0.85,16218.0,16218.0,16218.0,8104.066666666667,7961.0,8249.0,2.001217495742878
0.9,10528.0,10528.0,10528.0,5262.933333333333,5183.0,5355.0,2.0004053506282933
0.95,5130.0,5130.0,5130.0,2563.8,2513.0,2652.0,2.0009361104610344
0.97,3046.0,3046.0,3046.0,1510.0333333333333,1440.0,1546.0,2.0171740138186793
0.99,1006.0,1006.0,1006.0,506.43333333333334,468.0,531.0,1.986441124201935
1.0,0.0,0.0,0.0,0.0,0.0,0.0,
