source,protocol,trial,similarity,size,difference,round_duration_seconds
baseline,riblt,1,0.0,100000,200000,5.018790021
baseline,riblt,1,0.0,100000,200000,5.06879295
baseline,riblt,2,0.0,100000,200000,5.118020213
baseline,riblt,2,0.0,100000,200000,5.162767135
baseline,riblt,3,0.0,100000,200000,4.81372841
baseline,riblt,3,0.0,100000,200000,4.906199646
baseline,riblt,4,0.0,100000,200000,5.101435596
baseline,riblt,4,0.0,100000,200000,5.098608494
baseline,riblt,5,0.0,100000,200000,4.957134596
baseline,riblt,5,0.0,100000,200000,4.959385331
baseline,riblt,6,0.0,100000,200000,5.040975849
baseline,riblt,6,0.0,100000,200000,5.164484857
baseline,riblt,7,0.0,100000,200000,5.072250245
baseline,riblt,7,0.0,100000,200000,5.146481947
baseline,riblt,8,0.0,100000,200000,5.232282866
baseline,riblt,8,0.0,100000,200000,5.296692046
baseline,riblt,9,0.0,100000,200000,5.093864159
baseline,riblt,9,0.0,100000,200000,5.152617111
baseline,riblt,10,0.0,100000,200000,4.970998111
baseline,riblt,10,0.0,100000,200000,4.969166903
baseline,riblt,11,0.0,100000,200000,4.928094016
baseline,riblt,11,0.0,100000,200000,5.011510618
baseline,riblt,12,0.0,100000,200000,5.316100066
baseline,riblt,12,0.0,100000,200000,5.407833205
baseline,riblt,13,0.0,100000,200000,4.950733393
baseline,riblt,13,0.0,100000,200000,5.062774953
baseline,riblt,14,0.0,100000,200000,5.026625846
baseline,riblt,14,0.0,100000,200000,5.433110947
baseline,riblt,15,0.0,100000,200000,5.239562784
baseline,riblt,15,0.0,100000,200000,5.241990146
baseline,riblt,16,0.0,100000,200000,5.10819931
baseline,riblt,16,0.0,100000,200000,5.181399731
baseline,riblt,17,0.0,100000,200000,4.813697238
baseline,riblt,17,0.0,100000,200000,4.866201107
baseline,riblt,18,0.0,100000,200000,5.148122356
baseline,riblt,18,0.0,100000,200000,5.274660622
baseline,riblt,19,0.0,100000,200000,5.008094958
baseline,riblt,19,0.0,100000,200000,5.113638356
baseline,riblt,20,0.0,100000,200000,4.966768019
baseline,riblt,20,0.0,100000,200000,5.013195682
baseline,riblt,21,0.0,100000,200000,4.810830589
baseline,riblt,21,0.0,100000,200000,4.892242704
baseline,riblt,22,0.0,100000,200000,4.966321946
baseline,riblt,22,0.0,100000,200000,5.044972259
baseline,riblt,23,0.0,100000,200000,4.838828908
baseline,riblt,23,0.0,100000,200000,4.955081397
baseline,riblt,24,0.0,100000,200000,4.938763603
baseline,riblt,24,0.0,100000,200000,4.976713892
baseline,riblt,25,0.0,100000,200000,4.936412265
baseline,riblt,25,0.0,100000,200000,4.922446827
baseline,riblt,26,0.0,100000,200000,4.948831509
baseline,riblt,26,0.0,100000,200000,4.960184548
baseline,riblt,27,0.0,100000,200000,4.892201446
baseline,riblt,27,0.0,100000,200000,4.953391369
baseline,riblt,28,0.0,100000,200000,4.809710969
baseline,riblt,28,0.0,100000,200000,4.832558119
baseline,riblt,29,0.0,100000,200000,4.814443323
baseline,riblt,29,0.0,100000,200000,4.854505486
baseline,riblt,30,0.0,100000,200000,4.99689932
baseline,riblt,30,0.0,100000,200000,5.052136407
baseline,riblt,1,0.05,100000,180954,4.79562817
baseline,riblt,1,0.05,100000,180954,4.843616665
baseline,riblt,2,0.05,100000,180954,4.764252299
baseline,riblt,2,0.05,100000,180954,4.757787588
baseline,riblt,3,0.05,100000,180954,4.607431893
baseline,riblt,3,0.05,100000,180954,4.696403239
baseline,riblt,4,0.05,100000,180954,4.780842485
baseline,riblt,4,0.05,100000,180954,4.808172234
baseline,riblt,5,0.05,100000,180954,4.7135228510000005
baseline,riblt,5,0.05,100000,180954,4.694628095
baseline,riblt,6,0.05,100000,180954,4.669001971
baseline,riblt,6,0.05,100000,180954,4.692771146
baseline,riblt,7,0.05,100000,180954,4.71406346
baseline,riblt,7,0.05,100000,180954,4.776758236
baseline,riblt,8,0.05,100000,180954,5.132166991
baseline,riblt,8,0.05,100000,180954,5.12123636
baseline,riblt,9,0.05,100000,180954,4.721559953
baseline,riblt,9,0.05,100000,180954,4.787885125
baseline,riblt,10,0.05,100000,180954,4.7247836020000005
baseline,riblt,10,0.05,100000,180954,4.731616018
baseline,riblt,11,0.05,100000,180954,5.056040656
baseline,riblt,11,0.05,100000,180954,5.102807586
baseline,riblt,12,0.05,100000,180954,4.613153227
baseline,riblt,12,0.05,100000,180954,4.600772215
baseline,riblt,13,0.05,100000,180954,4.689496501
baseline,riblt,13,0.05,100000,180954,4.806386117
baseline,riblt,14,0.05,100000,180954,4.884520443
baseline,riblt,14,0.05,100000,180954,4.924844311
baseline,riblt,15,0.05,100000,180954,4.624413752
baseline,riblt,15,0.05,100000,180954,4.718924451
baseline,riblt,16,0.05,100000,180954,4.88623355
baseline,riblt,16,0.05,100000,180954,5.002636694
baseline,riblt,17,0.05,100000,180954,5.104548671
baseline,riblt,17,0.05,100000,180954,5.151566376
baseline,riblt,18,0.05,100000,180954,4.802833397
baseline,riblt,18,0.05,100000,180954,4.901480336
baseline,riblt,19,0.05,100000,180954,4.732593457
baseline,riblt,19,0.05,100000,180954,4.82627141
baseline,riblt,20,0.05,100000,180954,4.778190729
baseline,riblt,20,0.05,100000,180954,4.834759888
baseline,riblt,21,0.05,100000,180954,4.679730712
baseline,riblt,21,0.05,100000,180954,4.685040028
baseline,riblt,22,0.05,100000,180954,4.472332233
baseline,riblt,22,0.05,100000,180954,4.527999108
baseline,riblt,23,0.05,100000,180954,4.993036839
baseline,riblt,23,0.05,100000,180954,4.990305353
baseline,riblt,24,0.05,100000,180954,4.498575503
baseline,riblt,24,0.05,100000,180954,4.546154917
baseline,riblt,25,0.05,100000,180954,4.534837154
baseline,riblt,25,0.05,100000,180954,4.484150373
baseline,riblt,26,0.05,100000,180954,4.804142812
baseline,riblt,26,0.05,100000,180954,4.850160084
baseline,riblt,27,0.05,100000,180954,4.784730036
baseline,riblt,27,0.05,100000,180954,4.790517412
baseline,riblt,28,0.05,100000,180954,4.71612776
baseline,riblt,28,0.05,100000,180954,4.798368073
baseline,riblt,29,0.05,100000,180954,4.686180544
baseline,riblt,29,0.05,100000,180954,4.774238748
baseline,riblt,30,0.05,100000,180954,4.510631254
baseline,riblt,30,0.05,100000,180954,4.513947234
baseline,riblt,1,0.1,100000,163638,4.303131279
baseline,riblt,1,0.1,100000,163638,4.343006702
baseline,riblt,2,0.1,100000,163638,4.192873315
baseline,riblt,2,0.1,100000,163638,4.201385168
baseline,riblt,3,0.1,100000,163638,4.168881022
baseline,riblt,3,0.1,100000,163638,4.262562388
baseline,riblt,4,0.1,100000,163638,4.341851296
baseline,riblt,4,0.1,100000,163638,4.444751723
baseline,riblt,5,0.1,100000,163638,4.091965572
baseline,riblt,5,0.1,100000,163638,4.12172706
baseline,riblt,6,0.1,100000,163638,4.128730209
baseline,riblt,6,0.1,100000,163638,4.181673757
baseline,riblt,7,0.1,100000,163638,4.179394012
baseline,riblt,7,0.1,100000,163638,4.267957156
baseline,riblt,8,0.1,100000,163638,4.360366083
baseline,riblt,8,0.1,100000,163638,4.389434888
baseline,riblt,9,0.1,100000,163638,4.485426786
baseline,riblt,9,0.1,100000,163638,4.582122474
baseline,riblt,10,0.1,100000,163638,4.225734732
baseline,riblt,10,0.1,100000,163638,4.289724094
baseline,riblt,11,0.1,100000,163638,4.129458584
baseline,riblt,11,0.1,100000,163638,4.147699683
baseline,riblt,12,0.1,100000,163638,4.380262195
baseline,riblt,12,0.1,100000,163638,4.462980701
baseline,riblt,13,0.1,100000,163638,4.3083466
baseline,riblt,13,0.1,100000,163638,4.326978389
baseline,riblt,14,0.1,100000,163638,4.665280679
baseline,riblt,14,0.1,100000,163638,4.92823756
baseline,riblt,15,0.1,100000,163638,4.235123101
baseline,riblt,15,0.1,100000,163638,4.271381179
baseline,riblt,16,0.1,100000,163638,4.158700549
baseline,riblt,16,0.1,100000,163638,4.13863877
baseline,riblt,17,0.1,100000,163638,4.114585389
baseline,riblt,17,0.1,100000,163638,4.152141527
baseline,riblt,18,0.1,100000,163638,4.272278799
baseline,riblt,18,0.1,100000,163638,4.331078281
baseline,riblt,19,0.1,100000,163638,4.410176868
baseline,riblt,19,0.1,100000,163638,4.455676002
baseline,riblt,20,0.1,100000,163638,4.255347795
baseline,riblt,20,0.1,100000,163638,4.31209186
baseline,riblt,21,0.1,100000,163638,4.288318613
baseline,riblt,21,0.1,100000,163638,4.311033922
baseline,riblt,22,0.1,100000,163638,4.312997577
baseline,riblt,22,0.1,100000,163638,4.414544042
baseline,riblt,23,0.1,100000,163638,4.219986305
baseline,riblt,23,0.1,100000,163638,4.297175221
baseline,riblt,24,0.1,100000,163638,4.1230555
baseline,riblt,24,0.1,100000,163638,4.269699856
baseline,riblt,25,0.1,100000,163638,4.159366877
baseline,riblt,25,0.1,100000,163638,4.228379317
baseline,riblt,26,0.1,100000,163638,4.203631309
baseline,riblt,26,0.1,100000,163638,4.218949566
baseline,riblt,27,0.1,100000,163638,4.17932295
baseline,riblt,27,0.1,100000,163638,4.28178579
baseline,riblt,28,0.1,100000,163638,4.740932134
baseline,riblt,28,0.1,100000,163638,4.802355109
baseline,riblt,29,0.1,100000,163638,4.47007569
baseline,riblt,29,0.1,100000,163638,4.520417022
baseline,riblt,30,0.1,100000,163638,4.251948445
baseline,riblt,30,0.1,100000,163638,4.262075224
baseline,riblt,1,0.2,100000,133334,3.617078261
baseline,riblt,1,0.2,100000,133334,3.615828034
baseline,riblt,2,0.2,100000,133334,3.702477908
baseline,riblt,2,0.2,100000,133334,3.819200958
baseline,riblt,3,0.2,100000,133334,3.718399165
baseline,riblt,3,0.2,100000,133334,3.701593292
baseline,riblt,4,0.2,100000,133334,3.726740146
baseline,riblt,4,0.2,100000,133334,3.752797523
baseline,riblt,5,0.2,100000,133334,3.625470234
baseline,riblt,5,0.2,100000,133334,3.680468585
baseline,riblt,6,0.2,100000,133334,3.666114423
baseline,riblt,6,0.2,100000,133334,3.799015236
baseline,riblt,7,0.2,100000,133334,3.534789804
baseline,riblt,7,0.2,100000,133334,3.549944278
baseline,riblt,8,0.2,100000,133334,3.816894363
baseline,riblt,8,0.2,100000,133334,3.856669716
baseline,riblt,9,0.2,100000,133334,3.646375898
baseline,riblt,9,0.2,100000,133334,3.717538682
baseline,riblt,10,0.2,100000,133334,3.738218021
baseline,riblt,10,0.2,100000,133334,3.767235884
baseline,riblt,11,0.2,100000,133334,3.64508681
baseline,riblt,11,0.2,100000,133334,3.735847769
baseline,riblt,12,0.2,100000,133334,3.86484535
baseline,riblt,12,0.2,100000,133334,3.951408644
baseline,riblt,13,0.2,100000,133334,3.654173673
baseline,riblt,13,0.2,100000,133334,3.642082991
baseline,riblt,14,0.2,100000,133334,3.746826713
baseline,riblt,14,0.2,100000,133334,3.816505915
baseline,riblt,15,0.2,100000,133334,3.634368618
baseline,riblt,15,0.2,100000,133334,3.643322665
baseline,riblt,16,0.2,100000,133334,3.736660213
baseline,riblt,16,0.2,100000,133334,3.794328696
baseline,riblt,17,0.2,100000,133334,3.582815913
baseline,riblt,17,0.2,100000,133334,3.615095136
baseline,riblt,18,0.2,100000,133334,3.9017324
baseline,riblt,18,0.2,100000,133334,3.841257846
baseline,riblt,19,0.2,100000,133334,4.047288635
baseline,riblt,19,0.2,100000,133334,4.157536966
baseline,riblt,20,0.2,100000,133334,3.696049862
baseline,riblt,20,0.2,100000,133334,3.697413229
baseline,riblt,21,0.2,100000,133334,3.702146684
baseline,riblt,21,0.2,100000,133334,3.681719635
baseline,riblt,22,0.2,100000,133334,3.671121863
baseline,riblt,22,0.2,100000,133334,3.79132728
baseline,riblt,23,0.2,100000,133334,3.921188822
baseline,riblt,23,0.2,100000,133334,4.005170607
baseline,riblt,24,0.2,100000,133334,3.769972625
baseline,riblt,24,0.2,100000,133334,3.743661889
baseline,riblt,25,0.2,100000,133334,3.636736888
baseline,riblt,25,0.2,100000,133334,3.717362315
baseline,riblt,26,0.2,100000,133334,3.805637204
baseline,riblt,26,0.2,100000,133334,3.88750489
