run_dir,iteration,round_duration_seconds,protocol,trial,similarity,run_id
sweep_riblt_n100000_sim00_t1,1,5.018790021,riblt,1,0,sweep_riblt_n100000_sim00_t1
sweep_riblt_n100000_sim00_t1,1,5.06879295,riblt,1,0,sweep_riblt_n100000_sim00_t1
sweep_riblt_n100000_sim00_t2,1,5.118020213,riblt,2,0,sweep_riblt_n100000_sim00_t2
sweep_riblt_n100000_sim00_t2,1,5.162767135,riblt,2,0,sweep_riblt_n100000_sim00_t2
sweep_riblt_n100000_sim00_t3,1,4.81372841,riblt,3,0,sweep_riblt_n100000_sim00_t3
sweep_riblt_n100000_sim00_t3,1,4.906199646,riblt,3,0,sweep_riblt_n100000_sim00_t3
sweep_riblt_n100000_sim00_t4,1,5.101435596,riblt,4,0,sweep_riblt_n100000_sim00_t4
sweep_riblt_n100000_sim00_t4,1,5.098608494,riblt,4,0,sweep_riblt_n100000_sim00_t4
sweep_riblt_n100000_sim00_t5,1,4.957134596,riblt,5,0,sweep_riblt_n100000_sim00_t5
sweep_riblt_n100000_sim00_t5,1,4.959385331,riblt,5,0,sweep_riblt_n100000_sim00_t5
sweep_riblt_n100000_sim00_t6,1,5.040975849,riblt,6,0,sweep_riblt_n100000_sim00_t6
sweep_riblt_n100000_sim00_t6,1,5.164484857,riblt,6,0,sweep_riblt_n100000_sim00_t6
sweep_riblt_n100000_sim00_t7,1,5.072250245,riblt,7,0,sweep_riblt_n100000_sim00_t7
sweep_riblt_n100000_sim00_t7,1,5.146481947,riblt,7,0,sweep_riblt_n100000_sim00_t7
sweep_riblt_n100000_sim00_t8,1,5.232282866,riblt,8,0,sweep_riblt_n100000_sim00_t8
sweep_riblt_n100000_sim00_t8,1,5.296692046,riblt,8,0,sweep_riblt_n100000_sim00_t8
sweep_riblt_n100000_sim00_t9,1,5.093864159,riblt,9,0,sweep_riblt_n100000_sim00_t9
sweep_riblt_n100000_sim00_t9,1,5.152617111,riblt,9,0,sweep_riblt_n100000_sim00_t9
sweep_riblt_n100000_sim00_t10,1,4.970998111,riblt,10,0,sweep_riblt_n100000_sim00_t10
