run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_riblt_n100000_sim00_t1,1,6632,10993,riblt,1,0,sweep_riblt_n100000_sim00_t1,0.0
sweep_riblt_n100000_sim00_t1,1,6639,10998,riblt,1,0,sweep_riblt_n100000_sim00_t1,0.0
sweep_riblt_n100000_sim00_t2,1,6735,11052,riblt,2,0,sweep_riblt_n100000_sim00_t2,0.0
sweep_riblt_n100000_sim00_t2,1,6825,11009,riblt,2,0,sweep_riblt_n100000_sim00_t2,0.0
sweep_riblt_n100000_sim00_t3,1,6516,11176,riblt,3,0,sweep_riblt_n100000_sim00_t3,0.0
sweep_riblt_n100000_sim00_t3,1,6546,11314,riblt,3,0,sweep_riblt_n100000_sim00_t3,0.0
sweep_riblt_n100000_sim00_t4,1,6708,11004,riblt,4,0,sweep_riblt_n100000_sim00_t4,0.0
sweep_riblt_n100000_sim00_t4,1,6739,10832,riblt,4,0,sweep_riblt_n100000_sim00_t4,0.0
sweep_riblt_n100000_sim00_t5,1,6616,11262,riblt,5,0,sweep_riblt_n100000_sim00_t5,0.0
sweep_riblt_n100000_sim00_t5,1,6621,11202,riblt,5,0,sweep_riblt_n100000_sim00_t5,0.0
sweep_riblt_n100000_sim00_t6,1,6776,10714,riblt,6,0,sweep_riblt_n100000_sim00_t6,0.0
sweep_riblt_n100000_sim00_t6,1,6780,11190,riblt,6,0,sweep_riblt_n100000_sim00_t6,0.0
sweep_riblt_n100000_sim00_t7,1,6853,10715,riblt,7,0,sweep_riblt_n100000_sim00_t7,0.0
sweep_riblt_n100000_sim00_t7,1,6856,11192,riblt,7,0,sweep_riblt_n100000_sim00_t7,0.0
sweep_riblt_n100000_sim00_t8,1,6851,10792,riblt,8,0,sweep_riblt_n100000_sim00_t8,0.0
sweep_riblt_n100000_sim00_t8,1,6856,10753,riblt,8,0,sweep_riblt_n100000_sim00_t8,0.0
sweep_riblt_n100000_sim00_t9,1,6748,10949,riblt,9,0,sweep_riblt_n100000_sim00_t9,0.0
sweep_riblt_n100000_sim00_t9,1,6751,10930,riblt,9,0,sweep_riblt_n100000_sim00_t9,0.0
sweep_riblt_n100000_sim00_t10,1,6604,11013,riblt,10,0,sweep_riblt_n100000_sim00_t10,0.0
