run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim00_t1,1,3137,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t1,1,80,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t2,1,3106,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t2,1,97,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t3,1,3067,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t3,1,109,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t4,1,3023,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t4,1,101,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t5,1,3104,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim00_t5,1,93,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim00_t6,1,3162,rbf_riblt,6,0,sweep_rbf_riblt_n100000_sim00_t6
sweep_rbf_riblt_n100000_sim00_t6,1,112,rbf_riblt,6,0,sweep_rbf_riblt_n100000_sim00_t6
sweep_rbf_riblt_n100000_sim00_t7,1,97,rbf_riblt,7,0,sweep_rbf_riblt_n100000_sim00_t7
sweep_rbf_riblt_n100000_sim00_t7,1,3140,rbf_riblt,7,0,sweep_rbf_riblt_n100000_sim00_t7
sweep_rbf_riblt_n100000_sim00_t8,1,107,rbf_riblt,8,0,sweep_rbf_riblt_n100000_sim00_t8
sweep_rbf_riblt_n100000_sim00_t8,1,3097,rbf_riblt,8,0,sweep_rbf_riblt_n100000_sim00_t8
sweep_rbf_riblt_n100000_sim00_t9,1,3172,rbf_riblt,9,0,sweep_rbf_riblt_n100000_sim00_t9
sweep_rbf_riblt_n100000_sim00_t9,1,95,rbf_riblt,9,0,sweep_rbf_riblt_n100000_sim00_t9
sweep_rbf_riblt_n100000_sim00_t10,1,3021,rbf_riblt,10,0,sweep_rbf_riblt_n100000_sim00_t10
sweep_rbf_riblt_n100000_sim00_t10,1,89,rbf_riblt,10,0,sweep_rbf_riblt_n100000_sim00_t10
sweep_rbf_riblt_n100000_sim00_t11,1,3125,rbf_riblt,11,0,sweep_rbf_riblt_n100000_sim00_t11
sweep_rbf_riblt_n100000_sim00_t11,1,89,rbf_riblt,11,0,sweep_rbf_riblt_n100000_sim00_t11
sweep_rbf_riblt_n100000_sim00_t12,1,3174,rbf_riblt,12,0,sweep_rbf_riblt_n100000_sim00_t12
sweep_rbf_riblt_n100000_sim00_t12,1,99,rbf_riblt,12,0,sweep_rbf_riblt_n100000_sim00_t12
sweep_rbf_riblt_n100000_sim00_t13,1,98,rbf_riblt,13,0,sweep_rbf_riblt_n100000_sim00_t13
sweep_rbf_riblt_n100000_sim00_t13,1,3174,rbf_riblt,13,0,sweep_rbf_riblt_n100000_sim00_t13
sweep_rbf_riblt_n100000_sim00_t14,1,3036,rbf_riblt,14,0,sweep_rbf_riblt_n100000_sim00_t14
sweep_rbf_riblt_n100000_sim00_t14,1,114,rbf_riblt,14,0,sweep_rbf_riblt_n100000_sim00_t14
sweep_rbf_riblt_n100000_sim00_t15,1,99,rbf_riblt,15,0,sweep_rbf_riblt_n100000_sim00_t15
sweep_rbf_riblt_n100000_sim00_t15,1,3160,rbf_riblt,15,0,sweep_rbf_riblt_n100000_sim00_t15
sweep_rbf_riblt_n100000_sim00_t16,1,97,rbf_riblt,16,0,sweep_rbf_riblt_n100000_sim00_t16
sweep_rbf_riblt_n100000_sim00_t16,1,3047,rbf_riblt,16,0,sweep_rbf_riblt_n100000_sim00_t16
sweep_rbf_riblt_n100000_sim00_t17,1,90,rbf_riblt,17,0,sweep_rbf_riblt_n100000_sim00_t17
sweep_rbf_riblt_n100000_sim00_t17,1,3199,rbf_riblt,17,0,sweep_rbf_riblt_n100000_sim00_t17
sweep_rbf_riblt_n100000_sim00_t18,1,3039,rbf_riblt,18,0,sweep_rbf_riblt_n100000_sim00_t18
sweep_rbf_riblt_n100000_sim00_t18,1,109,rbf_riblt,18,0,sweep_rbf_riblt_n100000_sim00_t18
