protocol,similarity,mean_scom_size,std_scom_size,median_scom_size,samples,q75_scom_size,q25_scom_size
rbf_riblt,0.0,1610.6333333333334,1525.5278493718295,1550.0,60,3128.0,97.75
rbf_riblt,0.05,11114.583333333334,1245.1768275714514,11081.5,60,12341.75,9880.0
rbf_riblt,0.1,19775.8,955.2832005328784,19753.0,60,20722.25,18832.0
rbf_riblt,0.2,35949.066666666666,1589.9803523641274,35917.0,60,37530.5,34379.75
rbf_riblt,0.3,48675.03333333333,852.2060299681783,48646.5,60,49515.0,47832.75
rbf_riblt,0.4,59518.933333333334,572.0726772208217,59806.0,60,59852.0,59722.0
rbf_riblt,0.5,69794.75,1057.1145348686246,69783.5,60,70844.75,68750.5
rbf_riblt,0.6,78121.98333333334,60.3875875860528,78117.0,60,78173.5,78088.25
rbf_riblt,0.7,85628.8,1121.5147565469397,84691.0,60,86768.5,84549.0
rbf_riblt,0.75,89287.65,53.67410289920173,89292.5,60,89331.0,89247.0
rbf_riblt,0.8,91667.4,46.981135774310445,91663.0,60,91705.25,91635.0
rbf_riblt,0.85,95943.03333333334,51.75888253144592,95941.0,60,95973.0,95905.5
rbf_riblt,0.9,97367.46666666666,36.4651989500014,97364.0,60,97383.5,97344.75
rbf_riblt,0.95,98716.9,22.951459463952162,98715.5,60,98731.0,98703.75
rbf_riblt,0.97,99232.01666666666,16.10083866293008,99233.5,60,99244.25,99222.0
rbf_riblt,0.99,99750.21666666666,11.733035595862852,99751.5,60,99759.0,99743.0
rbf_riblt,1.0,100000.0,0.0,100000.0,60,100000.0,100000.0
