protocol,similarity,mean_transmitted_bytes,std_transmitted_bytes,median_transmitted_bytes,trials,q75_transmitted_bytes,q25_transmitted_bytes
merkle,0.0,132459760.93333334,372357.36838826333,132576290.0,30,132752354.0,131952354.0
merkle,0.05,120013930.6,337421.0177625303,120247992.0,30,120247992.0,119524176.0
merkle,0.1,108527500.46666667,312191.50648133573,108610962.0,30,108810298.0,108155746.0
merkle,0.2,88542177.66666667,269073.1665813063,88632018.0,30,88747204.0,88213868.0
merkle,0.3,71542009.2,218662.6719086604,71665728.0,30,71696250.0,71265474.0
merkle,0.4,56965354.8,201808.49051725928,57112800.0,30,57112800.0,56769936.0
merkle,0.5,44381698.93333333,120721.12068414473,44469392.0,30,44469392.0,44202720.0
merkle,0.6,33255630.866666667,97682.89189805948,33325634.0,30,33325634.0,33125634.0
merkle,0.7,23496941.466666665,77354.44739537271,23504886.0,30,23569248.0,23428064.0
merkle,0.75,18985320.2,110120.19737491176,19023092.0,30,19080236.0,18876806.0
merkle,0.8,14788051.266666668,50618.794038642176,14790975.0,30,14835388.0,14746492.0
merkle,0.85,10768475.466666667,92340.32624938962,10808510.0,30,10840946.0,10674903.5
merkle,0.9,7007850.666666667,53846.55753818108,7047916.0,30,7047916.0,7005804.0
merkle,0.95,3428972.533333333,23241.208971659984,3445394.0,30,3445394.0,3424874.0
merkle,0.97,1991172.4,74612.03018354576,2038516.0,30,2050700.0,1897490.0
merkle,0.99,677210.9333333333,21497.602616832984,690056.0,30,690056.0,686032.0
merkle,1.0,190.0,30.512857662936465,200.0,30,200.0,200.0
rbf_riblt,0.0,29863572.933333334,3940514.7158408808,31723226.0,30,31776578.0,31152931.0
rbf_riblt,0.05,26199449.466666665,4199724.506512991,28549944.0,30,28863402.0,21688821.0
rbf_riblt,0.1,24658954.0,3233105.4013724523,26191682.0,30,26231952.0,25712303.0
rbf_riblt,0.2,20881876.266666666,2604586.557653632,22113914.0,30,22157624.0,21725363.0
rbf_riblt,0.3,17155770.933333334,2070606.148595855,18107638.0,30,18173100.0,17840886.0
rbf_riblt,0.4,13775675.333333334,1772828.2428641866,14509758.0,30,14832030.0,14283613.0
rbf_riblt,0.5,11916829.733333332,879414.3920597716,12177966.0,30,12198484.0,12016058.0
rbf_riblt,0.6,9543543.6,474101.66504937835,9651652.0,30,9675812.0,9551303.0
rbf_riblt,0.7,7339830.133333334,345939.06665009714,7417154.0,30,7446388.0,7372439.0
rbf_riblt,0.75,6470216.8,370661.8644702734,6569964.0,30,6625251.0,6489999.0
rbf_riblt,0.8,5131611.2,42986.448859434866,5130032.0,30,5157206.0,5113536.0
rbf_riblt,0.85,4938954.266666667,81431.98178591486,4968156.0,30,4980437.0,4928148.0
rbf_riblt,0.9,3234518.8,43390.039259306235,3235342.0,30,3268611.0,3209207.0
rbf_riblt,0.95,1601739.0666666667,21083.417342143282,1604004.0,30,1614300.0,1596357.0
rbf_riblt,0.97,946805.7333333333,45169.08966503327,957644.0,30,974023.0,939366.0
rbf_riblt,0.99,333510.26666666666,19285.770196296748,339182.0,30,345870.0,327737.0
rbf_riblt,1.0,47568.0,0.0,47568.0,30,47568.0,47568.0
riblt,0.0,85859038.4,218975.1561272129,85880616.0,30,85989197.0,85748205.0
riblt,0.05,77823060.13333334,186647.2307672556,77821128.0,30,77975084.0,77663462.0
riblt,0.1,70461652.26666667,183802.01070209668,70432636.0,30,70556334.0,70327128.0
riblt,0.2,57652905.733333334,141071.06487424855,57641968.0,30,57726571.0,57564087.0
riblt,0.3,46802654.13333333,154921.86312165702,46798318.0,30,46868038.0,46736204.0
riblt,0.4,37506392.53333333,150715.97370247476,37537154.0,30,37611471.0,37406512.0
riblt,0.5,29367449.066666666,136417.06262754078,29379170.0,30,29490709.0,29246808.0
riblt,0.6,22384570.266666666,101120.58250423337,22386228.0,30,22442172.0,22319004.0
riblt,0.7,16176867.866666667,101541.7111181864,16190460.0,30,16250450.0,16094122.0
riblt,0.75,13254559.6,207668.7993801003,13309160.0,30,13377010.0,13172684.0
riblt,0.8,10483173.2,356177.87160470156,10630970.0,30,10696726.0,10428542.0
riblt,0.85,7744512.666666667,460421.67124655575,8007498.0,30,8082537.0,7371938.0
riblt,0.9,5402579.333333333,318626.3026847826,5480628.0,30,5690312.0,5090477.0
riblt,0.95,2635696.6666666665,178398.466553123,2627476.0,30,2766543.0,2545743.0
riblt,0.97,1545311.6,126631.14732536356,1549242.0,30,1628193.0,1446366.0
riblt,0.99,524765.3333333334,32562.11500939485,530906.0,30,544908.0,503301.0
riblt,1.0,20384.0,0.0,20384.0,30,20384.0,20384.0
