run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_merkle_n100000_sim00_t1,merkle,1,0,131779682.0,131779682.0,0.0
sweep_merkle_n100000_sim00_t10,merkle,10,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t11,merkle,11,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t12,merkle,12,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t13,merkle,13,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t14,merkle,14,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t15,merkle,15,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t16,merkle,16,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t17,merkle,17,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t18,merkle,18,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t19,merkle,19,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t2,merkle,2,0,131779682.0,131779682.0,0.0
sweep_merkle_n100000_sim00_t20,merkle,20,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t21,merkle,21,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t22,merkle,22,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t23,merkle,23,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t24,merkle,24,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t25,merkle,25,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t26,merkle,26,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t27,merkle,27,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t28,merkle,28,0,132752354.0,132752354.0,0.0
sweep_merkle_n100000_sim00_t29,merkle,29,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t3,merkle,3,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t30,merkle,30,0,132576290.0,132576290.0,0.0
sweep_merkle_n100000_sim00_t4,merkle,4,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t5,merkle,5,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t6,merkle,6,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t7,merkle,7,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t8,merkle,8,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t9,merkle,9,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim05_t1,merkle,1,0.05,119487680.0,119487680.0,0.05
sweep_merkle_n100000_sim05_t10,merkle,10,0.05,120247992.0,120247992.0,0.05
