timestamp,value,labels
1776265721.343,10,"neighbor=127.0.0.1:9001"
1776265721.343,10,"neighbor=127.0.0.1:9000"
1776265721.343,10,"neighbor=127.0.0.1:9002"
1776265726.343,20,"neighbor=127.0.0.1:9001"
1776265726.343,20,"neighbor=127.0.0.1:9000"
1776265726.343,20,"neighbor=127.0.0.1:9002"
1776265731.343,30,"neighbor=127.0.0.1:9001"
1776265731.343,30,"neighbor=127.0.0.1:9000"
1776265731.343,30,"neighbor=127.0.0.1:9002"
1776265736.343,40,"neighbor=127.0.0.1:9000"
1776265736.343,40,"neighbor=127.0.0.1:9002"
1776265736.343,40,"neighbor=127.0.0.1:9001"
1776265741.343,50,"neighbor=127.0.0.1:9001"
1776265741.343,50,"neighbor=127.0.0.1:9002"
1776265741.343,50,"neighbor=127.0.0.1:9000"
1776265746.343,60,"neighbor=127.0.0.1:9000"
1776265746.343,60,"neighbor=127.0.0.1:9002"
1776265746.343,60,"neighbor=127.0.0.1:9001"
1776265751.342,70,"neighbor=127.0.0.1:9002"
1776265751.342,70,"neighbor=127.0.0.1:9001"
1776265751.342,70,"neighbor=127.0.0.1:9000"
1776265756.343,80,"neighbor=127.0.0.1:9001"
1776265756.343,80,"neighbor=127.0.0.1:9000"
1776265756.343,80,"neighbor=127.0.0.1:9002"
1776265761.342,90,"neighbor=127.0.0.1:9001"
1776265761.342,90,"neighbor=127.0.0.1:9002"
1776265761.342,90,"neighbor=127.0.0.1:9000"
1776265766.343,100,"neighbor=127.0.0.1:9002"
1776265766.343,100,"neighbor=127.0.0.1:9000"
1776265766.343,100,"neighbor=127.0.0.1:9001"
1776265771.342,110,"neighbor=127.0.0.1:9000"
1776265771.342,110,"neighbor=127.0.0.1:9001"
1776265771.342,110,"neighbor=127.0.0.1:9002"
1776265776.342,120,"neighbor=127.0.0.1:9000"
1776265776.342,120,"neighbor=127.0.0.1:9002"
1776265776.342,120,"neighbor=127.0.0.1:9001"
1776265781.342,130,"neighbor=127.0.0.1:9002"
1776265781.342,130,"neighbor=127.0.0.1:9001"
1776265781.342,130,"neighbor=127.0.0.1:9000"
1776265786.343,140,"neighbor=127.0.0.1:9002"
1776265786.343,140,"neighbor=127.0.0.1:9000"
1776265786.343,140,"neighbor=127.0.0.1:9001"
1776265791.343,150,"neighbor=127.0.0.1:9001"
1776265791.343,150,"neighbor=127.0.0.1:9000"
1776265791.343,150,"neighbor=127.0.0.1:9002"
1776265796.342,160,"neighbor=127.0.0.1:9001"
1776265796.342,160,"neighbor=127.0.0.1:9000"
1776265796.342,160,"neighbor=127.0.0.1:9002"
1776265801.342,170,"neighbor=127.0.0.1:9001"
1776265801.342,170,"neighbor=127.0.0.1:9000"
1776265801.342,170,"neighbor=127.0.0.1:9002"
1776265806.342,180,"neighbor=127.0.0.1:9001"
1776265806.342,180,"neighbor=127.0.0.1:9000"
1776265806.342,180,"neighbor=127.0.0.1:9002"
1776265811.342,190,"neighbor=127.0.0.1:9001"
1776265811.342,190,"neighbor=127.0.0.1:9000"
1776265811.342,190,"neighbor=127.0.0.1:9002"
1776265816.343,200,"neighbor=127.0.0.1:9002"
1776265816.343,200,"neighbor=127.0.0.1:9001"
1776265816.343,200,"neighbor=127.0.0.1:9000"
1776265821.343,210,"neighbor=127.0.0.1:9001"
1776265821.343,210,"neighbor=127.0.0.1:9002"
1776265821.343,210,"neighbor=127.0.0.1:9000"
1776265826.342,220,"neighbor=127.0.0.1:9002"
1776265826.342,220,"neighbor=127.0.0.1:9000"
1776265826.342,220,"neighbor=127.0.0.1:9001"
1776265831.343,230,"neighbor=127.0.0.1:9001"
1776265831.343,230,"neighbor=127.0.0.1:9000"
1776265831.343,230,"neighbor=127.0.0.1:9002"
