run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim00_t1,1,5,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t1,1,10,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t2,1,5,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t2,1,10,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t3,1,5,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t3,1,10,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t4,1,5,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t4,1,10,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t5,1,5,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim00_t5,1,10,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim05_t1,1,5,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t1,1,8,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t2,1,5,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t2,1,8,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t3,1,5,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t3,1,8,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t4,1,5,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t4,1,8,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t5,1,5,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t5,1,8,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim10_t1,1,5,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t1,1,7,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t2,1,5,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t2,1,7,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t3,1,5,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t3,1,7,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t4,1,5,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t4,1,7,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t5,1,5,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t5,1,7,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim20_t1,1,4,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
sweep_rbf_riblt_n100000_sim20_t1,1,6,rbf_riblt,1,0.2,sweep_rbf_riblt_n100000_sim20_t1
