protocol,similarity,mean_bloom_slices,std_bloom_slices,median_bloom_slices,samples,q75_bloom_slices,q25_bloom_slices
rbf_riblt,0.0,7.5,2.6352313834736494,7.5,10,10.0,5.0
rbf_riblt,0.05,6.5,1.5811388300841898,6.5,10,8.0,5.0
rbf_riblt,0.1,6.0,1.0540925533894598,6.0,10,7.0,5.0
rbf_riblt,0.2,5.0,1.0540925533894598,5.0,10,6.0,4.0
rbf_riblt,0.3,4.5,0.5270462766947299,4.5,10,5.0,4.0
rbf_riblt,0.4,4.1,0.31622776601683794,4.0,10,4.0,4.0
rbf_riblt,0.5,3.5,0.5270462766947299,3.5,10,4.0,3.0
rbf_riblt,0.6,3.0,0.0,3.0,10,3.0,3.0
rbf_riblt,0.7,2.5,0.5270462766947299,2.5,10,3.0,2.0
rbf_riblt,0.75,2.0,0.0,2.0,10,2.0,2.0
rbf_riblt,0.8,2.0,0.0,2.0,10,2.0,2.0
rbf_riblt,0.85,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,0.9,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,0.95,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,0.97,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,0.99,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,1.0,1.0,0.0,1.0,10,1.0,1.0
