protocol,similarity,mean_cpu_round_seconds,std_cpu_round_seconds,median_cpu_round_seconds,samples,q75_cpu_round_seconds,q25_cpu_round_seconds
merkle,0.0,6.6507369999999995,0.23505460319040758,6.72494,5,6.849537999999999,6.502718
merkle,0.05,6.1945154,0.38222429710812483,6.071506,5,6.269532,6.050801
merkle,0.1,5.996354200000001,0.38267665425029557,5.899127,5,6.297658,5.783068
merkle,0.2,5.485701199999999,0.3817287950465618,5.597405,5,5.6174040000000005,5.367202
merkle,0.3,4.834399400000001,0.2846665601011122,4.716796,5,5.019072,4.643444
merkle,0.4,4.0631616,0.03303578049327687,4.078239,5,4.079133,4.053766
merkle,0.5,3.7529972000000003,0.08743888513241677,3.754496000000001,5,3.760936,3.680966
merkle,0.6,3.5577084,0.09557275711100953,3.559846,5,3.610485,3.499723
merkle,0.7,3.2545504000000003,0.07315081801524843,3.243983,5,3.277418,3.2409160000000004
merkle,0.75,2.8791032000000003,0.03755484936995497,2.8748590000000003,5,2.911963,2.852611
merkle,0.8,2.9926242000000003,0.21085077534052396,2.9206030000000003,5,3.14166,2.836773
merkle,0.85,2.7798673999999997,0.16064162302093424,2.730747,5,2.740621,2.696905
merkle,0.9,2.9665378000000002,0.20508883731373578,2.879838,5,3.150141,2.835255
merkle,0.95,2.5585832,0.025947314209759705,2.567969,5,2.5769010000000003,2.5403860000000003
merkle,0.97,2.5416068,0.0772258372418197,2.522845,5,2.562703,2.4966
merkle,0.99,2.5240124,0.11995358757161047,2.465086,5,2.64648,2.451701
merkle,1.0,1.4050354,0.04250874112814924,1.397115,5,1.409436,1.382047
rbf_riblt,0.0,3.6547112,0.10918981576914576,3.633338,5,3.675687,3.5721170000000004
rbf_riblt,0.05,4.0875156,0.4363142605969917,3.905808,5,4.222708,3.847549
rbf_riblt,0.1,4.0598410000000005,0.24564692761665058,3.985233,5,4.049631,3.907492
rbf_riblt,0.2,4.1472312,0.11296436165977276,4.099193,5,4.209269,4.064947
rbf_riblt,0.3,4.350281600000001,0.0678813051384546,4.349802,5,4.365959,4.31093
rbf_riblt,0.4,4.308738,0.12618666786748903,4.349614,5,4.356663,4.33715
rbf_riblt,0.5,4.8671954,0.35852607240032086,4.6719740000000005,5,5.2420670000000005,4.637626000000001
rbf_riblt,0.6,4.8500408,0.15449718020792522,4.812983,5,4.952429,4.781737
rbf_riblt,0.7,4.803013,0.07666229181285955,4.794313,5,4.804399,4.788525
rbf_riblt,0.75,5.381965,0.46376897449107074,5.331504000000001,5,5.657919,5.009923
rbf_riblt,0.8,4.8842412,0.0818460931914286,4.904139,5,4.943239,4.860405999999999
rbf_riblt,0.85,5.339614,0.363014172036024,5.304746000000001,5,5.518249,5.096659
rbf_riblt,0.9,5.2811402,0.7002409727763006,4.999468,5,5.264024,4.952853
rbf_riblt,0.95,4.4065362,0.20456053444445238,4.398933,5,4.4638,4.31116
rbf_riblt,0.97,4.176693,0.19026074651908617,4.09554,5,4.251933999999999,4.065111
rbf_riblt,0.99,3.7650178,0.18246391614837162,3.722082,5,3.923554,3.621177
rbf_riblt,1.0,3.0646678,0.05914150333479887,3.071407,5,3.118169,3.017616
riblt,0.0,21.3974184,0.692946037103758,21.312931,5,22.089595000000003,20.963713
riblt,0.05,20.549650200000002,0.4644966307850901,20.621628,5,20.803599,20.516617
riblt,0.1,20.2598396,2.8641714457415617,21.133755,5,21.208978,17.603284
riblt,0.2,16.281519600000003,0.47301667905614025,16.240884,5,16.659917,16.01324
riblt,0.3,14.958621799999998,0.6845755311769468,14.672007999999998,5,14.827074,14.604989
riblt,0.4,14.2424006,0.9261534896332245,14.201972,5,14.730704,13.648012
riblt,0.5,11.648403,0.26855406427849937,11.676488,5,11.838866,11.644217
riblt,0.6,11.1777704,0.2922097738428679,11.133753,5,11.356708,10.99814
riblt,0.7,10.1517482,0.266343678107253,10.072167,5,10.31303,10.015632
riblt,0.75,9.6932046,0.5041634232203877,9.649264,5,9.779715,9.360499
riblt,0.8,9.847536999999999,0.7779587364548969,9.414349,5,10.642632,9.360162
riblt,0.85,9.794757,0.9148828804871696,9.385815,5,10.718389,9.297535
riblt,0.9,8.7638578,0.34421691077821903,8.817876,5,9.015394,8.658665
riblt,0.95,6.986263800000001,0.29030341955219907,7.0035110000000005,5,7.005233,6.741766
riblt,0.97,6.9086894,0.5531987645768018,6.923278,5,6.984837,6.668509
riblt,0.99,5.398367,0.11692098045902637,5.384198,5,5.440949000000001,5.298717999999999
riblt,1.0,3.1225707999999996,0.08379376044312614,3.08538,5,3.194396,3.058454
