run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim00_t1,merkle,1,0,1,533643264,0.0,508.921875
sweep_merkle_n100000_sim00_t2,merkle,2,0,1,574259200,0.0,547.65625
sweep_merkle_n100000_sim00_t3,merkle,3,0,1,507842560,0.0,484.31640625
sweep_merkle_n100000_sim00_t4,merkle,4,0,1,508567552,0.0,485.0078125
sweep_merkle_n100000_sim00_t5,merkle,5,0,1,514355200,0.0,490.52734375
sweep_merkle_n100000_sim05_t1,merkle,1,0.05,1,505708544,0.05,482.28125
sweep_merkle_n100000_sim05_t2,merkle,2,0.05,1,509042688,0.05,485.4609375
sweep_merkle_n100000_sim05_t3,merkle,3,0.05,1,550412288,0.05,524.9140625
sweep_merkle_n100000_sim05_t4,merkle,4,0.05,1,537804800,0.05,512.890625
sweep_merkle_n100000_sim05_t5,merkle,5,0.05,1,500969472,0.05,477.76171875
sweep_merkle_n100000_sim100_t1,merkle,1,1,1,129912832,1.0,123.89453125
sweep_merkle_n100000_sim100_t2,merkle,2,1,1,129675264,1.0,123.66796875
sweep_merkle_n100000_sim100_t3,merkle,3,1,1,129982464,1.0,123.9609375
sweep_merkle_n100000_sim100_t4,merkle,4,1,1,130088960,1.0,124.0625
sweep_merkle_n100000_sim100_t5,merkle,5,1,1,130170880,1.0,124.140625
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,1,477425664,0.1,455.30859375
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,1,514953216,0.1,491.09765625
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,1,469176320,0.1,447.44140625
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,1,524763136,0.1,500.453125
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,1,511471616,0.1,487.77734375
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,1,490659840,0.2,467.9296875
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,1,465301504,0.2,443.74609375
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,1,449622016,0.2,428.79296875
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,1,452255744,0.2,431.3046875
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,1,431071232,0.2,411.1015625
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,1,431284224,0.3,411.3046875
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,1,439312384,0.3,418.9609375
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,1,422006784,0.3,402.45703125
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,1,418287616,0.3,398.91015625
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,1,438620160,0.3,418.30078125
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,1,409509888,0.4,390.5390625
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,1,392294400,0.4,374.12109375
sweep_merkle_n100000_sim40_t3,merkle,3,0.4,1,426520576,0.4,406.76171875
sweep_merkle_n100000_sim40_t4,merkle,4,0.4,1,422977536,0.4,403.3828125
sweep_merkle_n100000_sim40_t5,merkle,5,0.4,1,388272128,0.4,370.28515625
sweep_merkle_n100000_sim50_t1,merkle,1,0.5,1,365899776,0.5,348.94921875
sweep_merkle_n100000_sim50_t2,merkle,2,0.5,1,362893312,0.5,346.08203125
sweep_merkle_n100000_sim50_t3,merkle,3,0.5,1,348200960,0.5,332.0703125
sweep_merkle_n100000_sim50_t4,merkle,4,0.5,1,393818112,0.5,375.57421875
sweep_merkle_n100000_sim50_t5,merkle,5,0.5,1,348786688,0.5,332.62890625
sweep_merkle_n100000_sim60_t1,merkle,1,0.6,1,362893312,0.6,346.08203125
sweep_merkle_n100000_sim60_t2,merkle,2,0.6,1,348164096,0.6,332.03515625
sweep_merkle_n100000_sim60_t3,merkle,3,0.6,1,343543808,0.6,327.62890625
sweep_merkle_n100000_sim60_t4,merkle,4,0.6,1,358789120,0.6,342.16796875
sweep_merkle_n100000_sim60_t5,merkle,5,0.6,1,375386112,0.6,357.99609375
sweep_merkle_n100000_sim70_t1,merkle,1,0.7,1,314974208,0.7,300.3828125
sweep_merkle_n100000_sim70_t2,merkle,2,0.7,1,329498624,0.7,314.234375
sweep_merkle_n100000_sim70_t3,merkle,3,0.7,1,331436032,0.7,316.08203125
