protocol,similarity,mean_rss_memory_mb,std_rss_memory_mb,median_rss_memory_mb,samples,q75_rss_memory_mb,q25_rss_memory_mb
merkle,0.0,503.2859375,26.72640598120822,490.52734375,5,508.921875,485.0078125
merkle,0.05,496.66171875,20.92270123286864,485.4609375,5,512.890625,482.28125
merkle,0.1,476.415625,23.491829543435983,487.77734375,5,491.09765625,455.30859375
merkle,0.2,436.575,21.0462184019124,431.3046875,5,443.74609375,428.79296875
merkle,0.3,409.98671875,9.09373011636034,411.3046875,5,418.30078125,402.45703125
merkle,0.4,389.01796875,16.555499653789415,390.5390625,5,403.3828125,374.12109375
merkle,0.5,347.0609375,17.681441082803417,346.08203125,5,348.94921875,332.62890625
merkle,0.6,341.18203125,11.990071830884315,342.16796875,5,346.08203125,332.03515625
merkle,0.7,312.8046875,8.924862763875076,314.234375,5,316.08203125,308.859375
merkle,0.75,303.70546875,14.914481101298694,306.9140625,5,309.12109375,306.12109375
merkle,0.8,294.93359375,13.913527601049843,298.15625,5,302.2578125,285.70703125
merkle,0.85,275.971875,15.373411862607577,275.61328125,5,284.375,274.96484375
merkle,0.9,273.74453125,20.75175387771995,261.6953125,5,296.30859375,257.24609375
merkle,0.95,250.27890625,23.04104080683862,240.2578125,5,242.97265625,239.06640625
merkle,0.97,259.60859375,12.02513586272895,255.859375,5,263.046875,250.65234375
merkle,0.99,259.8984375,8.956023540948049,259.22265625,5,259.98046875,257.89453125
merkle,1.0,123.9453125,0.18139894876564655,123.9609375,5,124.0625,123.89453125
rbf_riblt,0.0,406.5421875,14.383838729259843,401.97265625,5,417.05078125,397.7265625
rbf_riblt,0.05,371.7421875,10.855846858294482,368.75390625,5,369.26953125,366.16796875
rbf_riblt,0.1,338.03046875,32.98666197827902,348.02734375,5,350.68359375,328.5390625
rbf_riblt,0.2,308.35234375,11.15443397936007,314.63671875,5,315.64453125,297.12109375
rbf_riblt,0.3,247.67578125,17.69358543068833,245.83984375,5,258.7109375,237.12109375
rbf_riblt,0.4,237.24296875,14.775842663896457,236.66015625,5,242.9921875,225.53125
rbf_riblt,0.5,228.565625,18.650604140081875,224.55859375,5,230.40234375,220.13671875
rbf_riblt,0.6,203.06484375,15.51725242047264,209.9921875,5,210.4296875,190.0390625
rbf_riblt,0.7,176.74921875,17.228049733844973,174.21875,5,174.234375,172.02734375
rbf_riblt,0.75,166.0828125,12.473064056811864,169.671875,5,174.11328125,154.25
rbf_riblt,0.8,149.690625,9.185825075855666,154.46484375,5,155.03515625,142.66796875
rbf_riblt,0.85,151.72890625,5.712586864253408,154.51171875,5,156.30859375,146.97265625
rbf_riblt,0.9,138.1546875,6.240200202860272,140.83984375,5,141.37109375,138.015625
rbf_riblt,0.95,124.29609375,11.931219843670965,128.0546875,5,130.18359375,122.4453125
rbf_riblt,0.97,126.2296875,11.689521622867394,124.05078125,5,132.48046875,121.890625
rbf_riblt,0.99,126.42734375,11.521639028087744,121.640625,5,136.6875,116.83984375
rbf_riblt,1.0,122.55390625,3.0854051657150467,123.46484375,5,123.5859375,123.15234375
riblt,0.0,458.56953125,5.551479712829106,457.26953125,5,463.35546875,454.34765625
riblt,0.05,424.8,13.575246813587025,419.58984375,5,437.37890625,419.07421875
riblt,0.1,406.1984375,6.966595865038914,404.19140625,5,404.34375,402.87890625
riblt,0.2,368.6453125,5.2599555671468705,367.390625,5,373.67578125,365.33984375
riblt,0.3,327.875,4.6432900530862655,327.484375,5,330.671875,324.16796875
riblt,0.4,294.91640625,3.216120977678917,296.6171875,5,296.66015625,293.00390625
riblt,0.5,247.5046875,10.992026612406443,241.9921875,5,257.05859375,239.76953125
riblt,0.6,239.878125,17.68091849551982,248.84375,5,249.0625,231.31640625
riblt,0.7,214.059375,9.73735964163424,213.05078125,5,221.953125,204.9609375
riblt,0.75,193.284375,4.118285662072703,191.28125,5,196.51171875,190.625
riblt,0.8,183.2484375,4.0716811443565435,184.52734375,5,184.703125,183.953125
riblt,0.85,172.8765625,2.230474906952974,173.0546875,5,173.0859375,171.734375
riblt,0.9,167.8578125,1.6219420784840133,167.6875,5,168.19140625,166.8515625
riblt,0.95,159.84375,4.110443324476141,161.53125,5,162.55859375,158.54296875
riblt,0.97,165.58046875,5.418823861187429,162.19921875,5,171.21875,162.046875
riblt,0.99,159.00234375,4.397749342537064,160.91796875,5,160.98046875,160.8828125
riblt,1.0,152.78046875,4.400662736399057,150.953125,5,151.11328125,150.7265625
