similarity,riblt_mean_transmitted_bytes,merkle_mean_transmitted_bytes,riblt_std_transmitted_bytes,merkle_std_transmitted_bytes,riblt_trials,merkle_trials,riblt_minus_merkle,riblt_to_merkle_ratio
0.0,85610036.0,131952354.0,200931.27280739552,0.0,5,5,-46342318.0,0.6487950643154119
0.05,77289051.2,119524176.0,54166.7332889849,0.0,5,5,-42235124.8,0.6466394815388646
0.1,70257773.6,108155746.0,237963.74892995827,0.0,5,5,-37897972.400000006,0.6495981600459766
0.2,57417200.8,88213868.0,129384.48204943254,0.0,5,5,-30796667.200000003,0.6508863300269295
0.3,46513528.8,71265474.0,193889.61573844007,0.0,5,5,-24751945.200000003,0.6526797085500335
0.4,37183882.4,56769936.0,236920.431733525,0.0,5,5,-19586053.6,0.6549925016649657
0.5,28661496.0,44202720.0,1262455.171997802,0.0,5,5,-15541224.0,0.6484102335783861
0.6,22251665.6,33125634.0,111061.0926868634,0.0,5,5,-10873968.399999999,0.6717355387069724
0.7,15898909.6,23428064.0,190490.27550192663,0.0,5,5,-7529154.4,0.6786266931830133
0.75,12994220.0,18965948.0,122190.33300552047,0.0,5,5,-5971728.0,0.6851342205514852
0.8,10408223.2,14746492.0,146596.9039072791,0.0,5,5,-4338268.800000001,0.7058101140257628
0.85,7855082.4,10776074.0,96018.36376860406,0.0,5,5,-2920991.5999999996,0.7289373105641257
0.9,5595164.8,7005804.0,22025.585377010982,0.0,5,5,-1410639.2000000002,0.7986470646338378
0.95,2610839.2,3424874.0,112944.56974640266,0.0,5,5,-814034.7999999998,0.7623168618757946
0.97,1549474.4,2038516.0,50815.96131925478,0.0,5,5,-489041.6000000001,0.7600992094248953
0.99,499756.8,686032.0,32682.830893299313,0.0,5,5,-186275.2,0.7284744734939478
1.0,20384.0,120.0,0.0,44.721359549995796,5,5,20264.0,169.86666666666667
