similarity,riblt_mean_rss_memory_mb,merkle_mean_rss_memory_mb,riblt_std_rss_memory_mb,merkle_std_rss_memory_mb,riblt_samples,merkle_samples,riblt_minus_merkle_mb,riblt_to_merkle_ratio
0.0,458.56953125,503.2859375,5.551479712829106,26.72640598120822,5,5,-44.71640624999998,0.9111510914210672
0.05,424.8,496.66171875,13.575246813587025,20.92270123286864,5,5,-71.86171874999997,0.8553105342387535
0.1,406.1984375,476.415625,6.966595865038914,23.491829543435983,5,5,-70.21718749999997,0.8526135923858501
0.2,368.6453125,436.575,5.2599555671468705,21.0462184019124,5,5,-67.9296875,0.8444031666952986
0.3,327.875,409.98671875,4.6432900530862655,9.09373011636034,5,5,-82.11171875000002,0.7997210275485296
0.4,294.91640625,389.01796875,3.216120977678917,16.555499653789415,5,5,-94.1015625,0.7581048433254409
0.5,247.5046875,347.0609375,10.992026612406443,17.681441082803417,5,5,-99.55625000000003,0.7131447557390407
0.6,239.878125,341.18203125,17.68091849551982,11.990071830884315,5,5,-101.30390625000001,0.7030795968977337
0.7,214.059375,312.8046875,9.73735964163424,8.924862763875076,5,5,-98.74531250000001,0.6843227852843478
0.75,193.284375,303.70546875,4.118285662072703,14.914481101298694,5,5,-110.42109375000001,0.6364204628765019
0.8,183.2484375,294.93359375,4.0716811443565435,13.913527601049843,5,5,-111.68515625,0.6213210071123002
0.85,172.8765625,275.971875,2.230474906952974,15.373411862607577,5,5,-103.0953125,0.6264281912785497
0.9,167.8578125,273.74453125,1.6219420784840133,20.75175387771995,5,5,-105.88671875000003,0.6131914735739583
0.95,159.84375,250.27890625,4.110443324476141,23.04104080683862,5,5,-90.43515625,0.6386624921571872
0.97,165.58046875,259.60859375,5.418823861187429,12.02513586272895,5,5,-94.02812500000002,0.6378081185919909
0.99,159.00234375,259.8984375,4.397749342537064,8.956023540948049,5,5,-100.89609375,0.6117864550455406
1.0,152.78046875,123.9453125,4.400662736399057,0.18139894876564655,5,5,28.83515625000001,1.2326441853135834
