similarity,base_mean,base_min,base_max,filt_mean,filt_min,filt_max,reduction
0.0,200000.0,200000.0,200000.0,3183.4,3124.0,3217.0,62.82590940503864
0.05,180954.0,180954.0,180954.0,3186.8,3144.0,3285.0,56.7823522028367
0.1,163638.0,163638.0,163638.0,3159.4,3099.0,3224.0,51.7940115211749
0.2,133334.0,133334.0,133334.0,5270.0,5150.0,5360.0,25.30056925996205
0.3,107694.0,107694.0,107694.0,5081.8,4943.0,5208.0,21.19209728836239
0.4,85716.0,85716.0,85716.0,5107.2,4146.0,5449.0,16.783364661654137
0.5,66668.0,66668.0,66668.0,6243.0,6127.0,6348.0,10.678840301137274
0.6,50000.0,50000.0,50000.0,6268.6,6184.0,6346.0,7.9762626423762875
0.7,35296.0,35296.0,35296.0,6616.6,6539.0,6685.0,5.3344618081794275
0.75,28572.0,28572.0,28572.0,7098.4,6976.0,7221.0,4.025132424208272
0.8,22224.0,22224.0,22224.0,5556.6,5480.0,5593.0,3.999568081200734
0.85,16218.0,16218.0,16218.0,8085.8,7961.0,8191.0,2.005738455069381
0.9,10528.0,10528.0,10528.0,5258.2,5196.0,5352.0,2.0022060781255946
0.95,5130.0,5130.0,5130.0,2554.0,2519.0,2595.0,2.0086139389193423
0.97,3046.0,3046.0,3046.0,1513.4,1482.0,1546.0,2.012686665785648
0.99,1006.0,1006.0,1006.0,510.6,486.0,531.0,1.9702311006658833
1.0,0.0,0.0,0.0,0.0,0.0,0.0,
