source,protocol,trial,similarity,size,difference,round_duration_seconds
2026-06-12_23-49-35,riblt,1,0.0,100000,200000,5.951819663
2026-06-12_23-49-35,riblt,1,0.0,100000,200000,5.997285232
2026-06-12_23-49-35,riblt,2,0.0,100000,200000,5.880665387
2026-06-12_23-49-35,riblt,2,0.0,100000,200000,5.937358462
2026-06-12_23-49-35,riblt,3,0.0,100000,200000,5.593142017
2026-06-12_23-49-35,riblt,3,0.0,100000,200000,5.665701961
2026-06-12_23-49-35,riblt,4,0.0,100000,200000,5.966407095
2026-06-12_23-49-35,riblt,4,0.0,100000,200000,6.068364508
2026-06-12_23-49-35,riblt,5,0.0,100000,200000,5.503714074
2026-06-12_23-49-35,riblt,5,0.0,100000,200000,5.5057038590000005
2026-06-12_23-49-35,riblt,1,0.05,100000,180954,5.560173271
2026-06-12_23-49-35,riblt,1,0.05,100000,180954,5.709810541
2026-06-12_23-49-35,riblt,2,0.05,100000,180954,5.547777417
2026-06-12_23-49-35,riblt,2,0.05,100000,180954,5.613193503
2026-06-12_23-49-35,riblt,3,0.05,100000,180954,5.294137002
2026-06-12_23-49-35,riblt,3,0.05,100000,180954,5.339764909
2026-06-12_23-49-35,riblt,4,0.05,100000,180954,5.698422367
2026-06-12_23-49-35,riblt,4,0.05,100000,180954,5.767026709
2026-06-12_23-49-35,riblt,5,0.05,100000,180954,5.576657846
2026-06-12_23-49-35,riblt,5,0.05,100000,180954,5.671303611
2026-06-12_23-49-35,riblt,1,0.1,100000,163638,4.607718193
2026-06-12_23-49-35,riblt,1,0.1,100000,163638,4.631317607
2026-06-12_23-49-35,riblt,2,0.1,100000,163638,4.4912612450000005
2026-06-12_23-49-35,riblt,2,0.1,100000,163638,4.563020571
2026-06-12_23-49-35,riblt,3,0.1,100000,163638,5.790411985
2026-06-12_23-49-35,riblt,3,0.1,100000,163638,5.834214769
2026-06-12_23-49-35,riblt,4,0.1,100000,163638,6.637732699
2026-06-12_23-49-35,riblt,4,0.1,100000,163638,6.694639406
2026-06-12_23-49-35,riblt,5,0.1,100000,163638,5.50824539
2026-06-12_23-49-35,riblt,5,0.1,100000,163638,5.578569956
2026-06-12_23-49-35,riblt,1,0.2,100000,133334,4.281437083
2026-06-12_23-49-35,riblt,1,0.2,100000,133334,4.37533617
2026-06-12_23-49-35,riblt,2,0.2,100000,133334,4.096893203
2026-06-12_23-49-35,riblt,2,0.2,100000,133334,4.105816068
2026-06-12_23-49-35,riblt,3,0.2,100000,133334,4.346068155
2026-06-12_23-49-35,riblt,3,0.2,100000,133334,4.387256272
2026-06-12_23-49-35,riblt,4,0.2,100000,133334,4.011813709
2026-06-12_23-49-35,riblt,4,0.2,100000,133334,4.050884723
2026-06-12_23-49-35,riblt,5,0.2,100000,133334,4.211786315
2026-06-12_23-49-35,riblt,5,0.2,100000,133334,4.224510926
2026-06-12_23-49-35,riblt,1,0.3,100000,107694,3.653023917
2026-06-12_23-49-35,riblt,1,0.3,100000,107694,3.665529187
2026-06-12_23-49-35,riblt,2,0.3,100000,107694,3.699403082
2026-06-12_23-49-35,riblt,2,0.3,100000,107694,3.688703555
2026-06-12_23-49-35,riblt,3,0.3,100000,107694,3.816342013
2026-06-12_23-49-35,riblt,3,0.3,100000,107694,3.856053353
2026-06-12_23-49-35,riblt,4,0.3,100000,107694,3.689253312
2026-06-12_23-49-35,riblt,4,0.3,100000,107694,3.751378363
2026-06-12_23-49-35,riblt,5,0.3,100000,107694,4.20512414
2026-06-12_23-49-35,riblt,5,0.3,100000,107694,4.295899512
2026-06-12_23-49-35,riblt,1,0.4,100000,85716,3.962863501
2026-06-12_23-49-35,riblt,1,0.4,100000,85716,3.976611532
2026-06-12_23-49-35,riblt,2,0.4,100000,85716,3.744631041
2026-06-12_23-49-35,riblt,2,0.4,100000,85716,3.824570932
2026-06-12_23-49-35,riblt,3,0.4,100000,85716,3.297708841
2026-06-12_23-49-35,riblt,3,0.4,100000,85716,3.327109404
2026-06-12_23-49-35,riblt,4,0.4,100000,85716,3.438261364
2026-06-12_23-49-35,riblt,4,0.4,100000,85716,3.497755037
2026-06-12_23-49-35,riblt,5,0.4,100000,85716,3.618825785
2026-06-12_23-49-35,riblt,5,0.4,100000,85716,3.718079292
2026-06-12_23-49-35,riblt,1,0.5,100000,66668,2.884937712
2026-06-12_23-49-35,riblt,1,0.5,100000,66668,2.940908401
2026-06-12_23-49-35,riblt,2,0.5,100000,66668,2.861482088
2026-06-12_23-49-35,riblt,2,0.5,100000,66668,2.876612771
2026-06-12_23-49-35,riblt,3,0.5,100000,66668,2.911831949
2026-06-12_23-49-35,riblt,3,0.5,100000,66668,3.007307214
2026-06-12_23-49-35,riblt,4,0.5,100000,66668,2.845396939
