run_dir,iteration,round_duration_seconds,protocol,trial,similarity,run_id
sweep_riblt_n100000_sim00_t1,1,5.951819663,riblt,1,0,sweep_riblt_n100000_sim00_t1
sweep_riblt_n100000_sim00_t1,1,5.997285232,riblt,1,0,sweep_riblt_n100000_sim00_t1
sweep_riblt_n100000_sim00_t2,1,5.880665387,riblt,2,0,sweep_riblt_n100000_sim00_t2
sweep_riblt_n100000_sim00_t2,1,5.937358462,riblt,2,0,sweep_riblt_n100000_sim00_t2
sweep_riblt_n100000_sim00_t3,1,5.593142017,riblt,3,0,sweep_riblt_n100000_sim00_t3
sweep_riblt_n100000_sim00_t3,1,5.665701961,riblt,3,0,sweep_riblt_n100000_sim00_t3
sweep_riblt_n100000_sim00_t4,1,5.966407095,riblt,4,0,sweep_riblt_n100000_sim00_t4
sweep_riblt_n100000_sim00_t4,1,6.068364508,riblt,4,0,sweep_riblt_n100000_sim00_t4
sweep_riblt_n100000_sim00_t5,1,5.503714074,riblt,5,0,sweep_riblt_n100000_sim00_t5
sweep_riblt_n100000_sim00_t5,1,5.5057038590000005,riblt,5,0,sweep_riblt_n100000_sim00_t5
sweep_merkle_n100000_sim00_t1,1,2.417175389,merkle,1,0,sweep_merkle_n100000_sim00_t1
sweep_merkle_n100000_sim00_t1,1,2.516089166,merkle,1,0,sweep_merkle_n100000_sim00_t1
sweep_merkle_n100000_sim00_t2,1,2.359552399,merkle,2,0,sweep_merkle_n100000_sim00_t2
sweep_merkle_n100000_sim00_t2,1,2.425717288,merkle,2,0,sweep_merkle_n100000_sim00_t2
sweep_merkle_n100000_sim00_t3,1,2.453937376,merkle,3,0,sweep_merkle_n100000_sim00_t3
sweep_merkle_n100000_sim00_t3,1,2.489330595,merkle,3,0,sweep_merkle_n100000_sim00_t3
sweep_merkle_n100000_sim00_t4,1,2.498657164,merkle,4,0,sweep_merkle_n100000_sim00_t4
sweep_merkle_n100000_sim00_t4,1,2.619711929,merkle,4,0,sweep_merkle_n100000_sim00_t4
sweep_merkle_n100000_sim00_t5,1,2.300252212,merkle,5,0,sweep_merkle_n100000_sim00_t5
sweep_merkle_n100000_sim00_t5,1,2.373754845,merkle,5,0,sweep_merkle_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim00_t1,1,0.917026618,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t1,1,1.107864177,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1
sweep_rbf_riblt_n100000_sim00_t2,1,0.934119999,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t2,1,1.14828935,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2
sweep_rbf_riblt_n100000_sim00_t3,1,0.897357786,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t3,1,1.10762746,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3
sweep_rbf_riblt_n100000_sim00_t4,1,0.896099415,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t4,1,1.219052831,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4
sweep_rbf_riblt_n100000_sim00_t5,1,0.930136752,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_rbf_riblt_n100000_sim00_t5,1,1.285751933,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5
sweep_riblt_n100000_sim05_t1,1,5.560173271,riblt,1,0.05,sweep_riblt_n100000_sim05_t1
sweep_riblt_n100000_sim05_t1,1,5.709810541,riblt,1,0.05,sweep_riblt_n100000_sim05_t1
sweep_riblt_n100000_sim05_t2,1,5.547777417,riblt,2,0.05,sweep_riblt_n100000_sim05_t2
sweep_riblt_n100000_sim05_t2,1,5.613193503,riblt,2,0.05,sweep_riblt_n100000_sim05_t2
sweep_riblt_n100000_sim05_t3,1,5.294137002,riblt,3,0.05,sweep_riblt_n100000_sim05_t3
sweep_riblt_n100000_sim05_t3,1,5.339764909,riblt,3,0.05,sweep_riblt_n100000_sim05_t3
sweep_riblt_n100000_sim05_t4,1,5.698422367,riblt,4,0.05,sweep_riblt_n100000_sim05_t4
sweep_riblt_n100000_sim05_t4,1,5.767026709,riblt,4,0.05,sweep_riblt_n100000_sim05_t4
sweep_riblt_n100000_sim05_t5,1,5.576657846,riblt,5,0.05,sweep_riblt_n100000_sim05_t5
sweep_riblt_n100000_sim05_t5,1,5.671303611,riblt,5,0.05,sweep_riblt_n100000_sim05_t5
sweep_merkle_n100000_sim05_t1,1,2.307190015,merkle,1,0.05,sweep_merkle_n100000_sim05_t1
sweep_merkle_n100000_sim05_t1,1,2.344781749,merkle,1,0.05,sweep_merkle_n100000_sim05_t1
sweep_merkle_n100000_sim05_t2,1,2.476666871,merkle,2,0.05,sweep_merkle_n100000_sim05_t2
sweep_merkle_n100000_sim05_t2,1,2.476009452,merkle,2,0.05,sweep_merkle_n100000_sim05_t2
sweep_merkle_n100000_sim05_t3,1,2.145682435,merkle,3,0.05,sweep_merkle_n100000_sim05_t3
sweep_merkle_n100000_sim05_t3,1,2.208809591,merkle,3,0.05,sweep_merkle_n100000_sim05_t3
sweep_merkle_n100000_sim05_t4,1,2.087414074,merkle,4,0.05,sweep_merkle_n100000_sim05_t4
sweep_merkle_n100000_sim05_t4,1,2.115827103,merkle,4,0.05,sweep_merkle_n100000_sim05_t4
sweep_merkle_n100000_sim05_t5,1,2.14830574,merkle,5,0.05,sweep_merkle_n100000_sim05_t5
sweep_merkle_n100000_sim05_t5,1,2.184500012,merkle,5,0.05,sweep_merkle_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t1,1,1.312886642,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t1,1,1.505259957,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t2,1,1.265133852,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t2,1,1.632931352,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t3,1,1.10641709,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t3,1,1.342082644,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t4,1,1.098654743,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t4,1,1.289526379,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t5,1,1.071799849,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t5,1,1.285941592,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_riblt_n100000_sim10_t1,1,4.607718193,riblt,1,0.1,sweep_riblt_n100000_sim10_t1
sweep_riblt_n100000_sim10_t1,1,4.631317607,riblt,1,0.1,sweep_riblt_n100000_sim10_t1
sweep_riblt_n100000_sim10_t2,1,4.4912612450000005,riblt,2,0.1,sweep_riblt_n100000_sim10_t2
sweep_riblt_n100000_sim10_t2,1,4.563020571,riblt,2,0.1,sweep_riblt_n100000_sim10_t2
sweep_riblt_n100000_sim10_t3,1,5.790411985,riblt,3,0.1,sweep_riblt_n100000_sim10_t3
sweep_riblt_n100000_sim10_t3,1,5.834214769,riblt,3,0.1,sweep_riblt_n100000_sim10_t3
sweep_riblt_n100000_sim10_t4,1,6.637732699,riblt,4,0.1,sweep_riblt_n100000_sim10_t4
sweep_riblt_n100000_sim10_t4,1,6.694639406,riblt,4,0.1,sweep_riblt_n100000_sim10_t4
sweep_riblt_n100000_sim10_t5,1,5.50824539,riblt,5,0.1,sweep_riblt_n100000_sim10_t5
sweep_riblt_n100000_sim10_t5,1,5.578569956,riblt,5,0.1,sweep_riblt_n100000_sim10_t5
sweep_merkle_n100000_sim10_t1,1,1.919017986,merkle,1,0.1,sweep_merkle_n100000_sim10_t1
sweep_merkle_n100000_sim10_t1,1,2.005547569,merkle,1,0.1,sweep_merkle_n100000_sim10_t1
sweep_merkle_n100000_sim10_t2,1,2.007593592,merkle,2,0.1,sweep_merkle_n100000_sim10_t2
sweep_merkle_n100000_sim10_t2,1,2.084638014,merkle,2,0.1,sweep_merkle_n100000_sim10_t2
sweep_merkle_n100000_sim10_t3,1,1.964599109,merkle,3,0.1,sweep_merkle_n100000_sim10_t3
sweep_merkle_n100000_sim10_t3,1,2.092373246,merkle,3,0.1,sweep_merkle_n100000_sim10_t3
sweep_merkle_n100000_sim10_t4,1,2.32626658,merkle,4,0.1,sweep_merkle_n100000_sim10_t4
sweep_merkle_n100000_sim10_t4,1,2.344075298,merkle,4,0.1,sweep_merkle_n100000_sim10_t4
sweep_merkle_n100000_sim10_t5,1,2.169289749,merkle,5,0.1,sweep_merkle_n100000_sim10_t5
sweep_merkle_n100000_sim10_t5,1,2.20194486,merkle,5,0.1,sweep_merkle_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t1,1,1.203542139,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t1,1,1.411074647,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
