run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_riblt_n100000_sim00_t1,1,8042,9969,riblt,1,0,sweep_riblt_n100000_sim00_t1,0.0
sweep_riblt_n100000_sim00_t1,1,8046,10001,riblt,1,0,sweep_riblt_n100000_sim00_t1,0.0
sweep_riblt_n100000_sim00_t2,1,7938,9904,riblt,2,0,sweep_riblt_n100000_sim00_t2,0.0
sweep_riblt_n100000_sim00_t2,1,7955,9909,riblt,2,0,sweep_riblt_n100000_sim00_t2,0.0
sweep_riblt_n100000_sim00_t3,1,7767,9965,riblt,3,0,sweep_riblt_n100000_sim00_t3,0.0
sweep_riblt_n100000_sim00_t3,1,7792,10136,riblt,3,0,sweep_riblt_n100000_sim00_t3,0.0
sweep_riblt_n100000_sim00_t4,1,8072,10150,riblt,4,0,sweep_riblt_n100000_sim00_t4,0.0
sweep_riblt_n100000_sim00_t4,1,8093,10171,riblt,4,0,sweep_riblt_n100000_sim00_t4,0.0
sweep_riblt_n100000_sim00_t5,1,7759,10126,riblt,5,0,sweep_riblt_n100000_sim00_t5,0.0
sweep_riblt_n100000_sim00_t5,1,7764,10054,riblt,5,0,sweep_riblt_n100000_sim00_t5,0.0
sweep_merkle_n100000_sim00_t1,1,4335,315,merkle,1,0,sweep_merkle_n100000_sim00_t1,0.0
sweep_merkle_n100000_sim00_t1,1,4366,315,merkle,1,0,sweep_merkle_n100000_sim00_t1,0.0
sweep_merkle_n100000_sim00_t2,1,4252,315,merkle,2,0,sweep_merkle_n100000_sim00_t2,0.0
sweep_merkle_n100000_sim00_t2,1,4312,315,merkle,2,0,sweep_merkle_n100000_sim00_t2,0.0
sweep_merkle_n100000_sim00_t3,1,4343,315,merkle,3,0,sweep_merkle_n100000_sim00_t3,0.0
sweep_merkle_n100000_sim00_t3,1,4371,315,merkle,3,0,sweep_merkle_n100000_sim00_t3,0.0
sweep_merkle_n100000_sim00_t4,1,4360,315,merkle,4,0,sweep_merkle_n100000_sim00_t4,0.0
sweep_merkle_n100000_sim00_t4,1,4516,315,merkle,4,0,sweep_merkle_n100000_sim00_t4,0.0
sweep_merkle_n100000_sim00_t5,1,4150,315,merkle,5,0,sweep_merkle_n100000_sim00_t5,0.0
sweep_merkle_n100000_sim00_t5,1,4242,315,merkle,5,0,sweep_merkle_n100000_sim00_t5,0.0
sweep_rbf_riblt_n100000_sim00_t1,1,2991,260,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1,0.0
sweep_rbf_riblt_n100000_sim00_t1,1,3058,43,rbf_riblt,1,0,sweep_rbf_riblt_n100000_sim00_t1,0.0
sweep_rbf_riblt_n100000_sim00_t2,1,3020,242,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2,0.0
sweep_rbf_riblt_n100000_sim00_t2,1,3144,44,rbf_riblt,2,0,sweep_rbf_riblt_n100000_sim00_t2,0.0
sweep_rbf_riblt_n100000_sim00_t3,1,2967,239,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3,0.0
sweep_rbf_riblt_n100000_sim00_t3,1,3069,44,rbf_riblt,3,0,sweep_rbf_riblt_n100000_sim00_t3,0.0
sweep_rbf_riblt_n100000_sim00_t4,1,2985,247,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4,0.0
sweep_rbf_riblt_n100000_sim00_t4,1,3211,44,rbf_riblt,4,0,sweep_rbf_riblt_n100000_sim00_t4,0.0
sweep_rbf_riblt_n100000_sim00_t5,1,3121,235,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5,0.0
sweep_rbf_riblt_n100000_sim00_t5,1,3374,44,rbf_riblt,5,0,sweep_rbf_riblt_n100000_sim00_t5,0.0
sweep_riblt_n100000_sim05_t1,1,7682,9102,riblt,1,0.05,sweep_riblt_n100000_sim05_t1,0.05
sweep_riblt_n100000_sim05_t1,1,7828,9035,riblt,1,0.05,sweep_riblt_n100000_sim05_t1,0.05
sweep_riblt_n100000_sim05_t2,1,7646,8973,riblt,2,0.05,sweep_riblt_n100000_sim05_t2,0.05
sweep_riblt_n100000_sim05_t2,1,7651,8931,riblt,2,0.05,sweep_riblt_n100000_sim05_t2,0.05
sweep_riblt_n100000_sim05_t3,1,7442,8984,riblt,3,0.05,sweep_riblt_n100000_sim05_t3,0.05
sweep_riblt_n100000_sim05_t3,1,7447,9010,riblt,3,0.05,sweep_riblt_n100000_sim05_t3,0.05
sweep_riblt_n100000_sim05_t4,1,7850,9106,riblt,4,0.05,sweep_riblt_n100000_sim05_t4,0.05
sweep_riblt_n100000_sim05_t4,1,7855,9146,riblt,4,0.05,sweep_riblt_n100000_sim05_t4,0.05
sweep_riblt_n100000_sim05_t5,1,7608,8954,riblt,5,0.05,sweep_riblt_n100000_sim05_t5,0.05
sweep_riblt_n100000_sim05_t5,1,7809,8931,riblt,5,0.05,sweep_riblt_n100000_sim05_t5,0.05
sweep_merkle_n100000_sim05_t1,1,4186,293,merkle,1,0.05,sweep_merkle_n100000_sim05_t1,0.05
sweep_merkle_n100000_sim05_t1,1,4205,293,merkle,1,0.05,sweep_merkle_n100000_sim05_t1,0.05
sweep_merkle_n100000_sim05_t2,1,4412,293,merkle,2,0.05,sweep_merkle_n100000_sim05_t2,0.05
sweep_merkle_n100000_sim05_t2,1,4463,293,merkle,2,0.05,sweep_merkle_n100000_sim05_t2,0.05
sweep_merkle_n100000_sim05_t3,1,4022,293,merkle,3,0.05,sweep_merkle_n100000_sim05_t3,0.05
sweep_merkle_n100000_sim05_t3,1,4055,293,merkle,3,0.05,sweep_merkle_n100000_sim05_t3,0.05
sweep_merkle_n100000_sim05_t4,1,3897,293,merkle,4,0.05,sweep_merkle_n100000_sim05_t4,0.05
sweep_merkle_n100000_sim05_t4,1,4001,293,merkle,4,0.05,sweep_merkle_n100000_sim05_t4,0.05
sweep_merkle_n100000_sim05_t5,1,3998,293,merkle,5,0.05,sweep_merkle_n100000_sim05_t5,0.05
sweep_merkle_n100000_sim05_t5,1,4013,293,merkle,5,0.05,sweep_merkle_n100000_sim05_t5,0.05
sweep_rbf_riblt_n100000_sim05_t1,1,3699,242,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1,0.05
sweep_rbf_riblt_n100000_sim05_t1,1,3705,42,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1,0.05
sweep_rbf_riblt_n100000_sim05_t2,1,3490,243,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2,0.05
sweep_rbf_riblt_n100000_sim05_t2,1,3687,46,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2,0.05
sweep_rbf_riblt_n100000_sim05_t3,1,3199,235,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3,0.05
sweep_rbf_riblt_n100000_sim05_t3,1,3330,46,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3,0.05
sweep_rbf_riblt_n100000_sim05_t4,1,3183,240,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4,0.05
sweep_rbf_riblt_n100000_sim05_t4,1,3240,43,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4,0.05
sweep_rbf_riblt_n100000_sim05_t5,1,3093,234,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5,0.05
sweep_rbf_riblt_n100000_sim05_t5,1,3201,43,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5,0.05
sweep_riblt_n100000_sim10_t1,1,6561,8345,riblt,1,0.1,sweep_riblt_n100000_sim10_t1,0.1
sweep_riblt_n100000_sim10_t1,1,6565,8431,riblt,1,0.1,sweep_riblt_n100000_sim10_t1,0.1
sweep_riblt_n100000_sim10_t2,1,6483,8331,riblt,2,0.1,sweep_riblt_n100000_sim10_t2,0.1
sweep_riblt_n100000_sim10_t2,1,6488,8473,riblt,2,0.1,sweep_riblt_n100000_sim10_t2,0.1
