protocol,similarity,mean_round_trips,std_round_trips,median_round_trips,trials,q75_round_trips,q25_round_trips
merkle,0.0,315.0,0.0,315.0,10,315.0,315.0
merkle,0.05,293.0,0.0,293.0,10,293.0,293.0
merkle,0.1,269.0,0.0,269.0,10,269.0,269.0
merkle,0.2,225.0,0.0,225.0,10,225.0,225.0
merkle,0.3,191.0,0.0,191.0,10,191.0,191.0
merkle,0.4,153.0,0.0,153.0,10,153.0,153.0
merkle,0.5,129.0,0.0,129.0,10,129.0,129.0
merkle,0.6,101.0,0.0,101.0,10,101.0,101.0
merkle,0.7,81.0,0.0,81.0,10,81.0,81.0
merkle,0.75,73.0,0.0,73.0,10,73.0,73.0
merkle,0.8,63.0,0.0,63.0,10,63.0,63.0
merkle,0.85,55.0,0.0,55.0,10,55.0,55.0
merkle,0.9,47.0,0.0,47.0,10,47.0,47.0
merkle,0.95,41.0,0.0,41.0,10,41.0,41.0
merkle,0.97,39.0,0.0,39.0,10,39.0,39.0
merkle,0.99,39.0,0.0,39.0,10,39.0,39.0
merkle,1.0,1.0,0.0,1.0,10,1.0,1.0
rbf_riblt,0.0,144.2,106.02704057613478,139.5,10,241.25,44.0
rbf_riblt,0.05,141.4,102.71232750854311,140.0,10,238.75,43.75
rbf_riblt,0.1,132.7,92.14969705141014,129.5,10,219.75,43.75
rbf_riblt,0.2,200.3,164.83058642807234,190.0,10,357.75,43.5
rbf_riblt,0.3,181.6,139.1515560658793,183.0,10,313.75,48.5
rbf_riblt,0.4,192.0,133.52569457265935,181.5,10,314.0,72.75
rbf_riblt,0.5,221.8,183.9298175331498,219.0,10,396.0,45.25
rbf_riblt,0.6,229.7,159.09958446764648,262.5,10,373.25,67.0
rbf_riblt,0.7,240.0,171.94443546939485,256.0,10,390.25,71.25
rbf_riblt,0.75,255.6,173.75026778556503,263.0,10,415.0,111.0
rbf_riblt,0.8,213.1,136.52956537769472,240.5,10,339.25,74.25
rbf_riblt,0.85,274.0,224.54150816472418,269.0,10,488.0,65.75
rbf_riblt,0.9,193.0,131.62910856730065,198.0,10,317.25,71.75
rbf_riblt,0.95,102.2,60.389108657476015,123.0,10,153.5,37.25
rbf_riblt,0.97,68.5,41.12109488382385,65.0,10,105.75,30.5
rbf_riblt,0.99,30.9,9.893319856235205,32.0,10,38.25,21.0
rbf_riblt,1.0,6.0,1.0540925533894598,6.0,10,7.0,5.0
riblt,0.0,10038.5,102.13852249654741,10027.5,10,10133.5,9966.0
riblt,0.05,9017.2,77.4206403716446,8997.0,10,9085.25,8958.75
riblt,0.1,8240.1,182.21565367564958,8306.0,10,8341.5,8110.0
riblt,0.2,6885.3,70.20929030010521,6883.0,10,6926.25,6834.5
riblt,0.3,5631.9,158.388025641671,5622.5,10,5691.25,5502.75
riblt,0.4,4337.8,139.98872970508876,4364.5,10,4424.75,4319.0
riblt,0.5,3566.9,81.95181511107606,3582.5,10,3625.75,3556.5
riblt,0.6,2737.2,78.78493933910642,2748.0,10,2766.25,2664.25
riblt,0.7,2011.6,69.79525612660059,2048.0,10,2059.25,1962.0
riblt,0.75,1624.0,78.43043626892134,1613.0,10,1655.75,1560.5
riblt,0.8,1299.6,84.6104800443381,1308.5,10,1342.25,1238.0
riblt,0.85,961.9,76.27064383569282,923.0,10,1025.25,914.25
riblt,0.9,699.3,49.17101675671237,681.5,10,700.75,673.0
riblt,0.95,359.7,37.410782759341814,359.5,10,384.5,325.5
riblt,0.97,233.3,23.921399067222918,227.5,10,231.75,223.5
riblt,0.99,90.9,6.8386158443552505,93.0,10,95.75,85.0
riblt,1.0,3.9,0.31622776601683794,4.0,10,4.0,4.0
