protocol,similarity,mean_scom_size,std_scom_size,median_scom_size,samples,q75_scom_size,q25_scom_size
rbf_riblt,0.0,1591.7,1576.8918126773597,1566.0,10,3094.75,98.0
rbf_riblt,0.05,11116.4,1299.5019729795633,11099.0,10,12311.5,9886.25
rbf_riblt,0.1,19760.7,985.4358370228317,19760.0,10,20691.75,18844.5
rbf_riblt,0.2,35968.0,1662.7955710522897,35943.0,10,37553.25,34400.5
rbf_riblt,0.3,48693.9,885.4743173388295,48665.0,10,49547.25,47851.5
rbf_riblt,0.4,59695.6,412.5215684596918,59827.0,10,59859.5,59757.5
rbf_riblt,0.5,69787.5,1123.6155184640947,69787.0,10,70867.25,68739.25
rbf_riblt,0.6,78134.3,71.6303008509654,78131.5,10,78196.0,78089.0
rbf_riblt,0.7,85660.3,1208.9697220728444,85644.0,10,86795.75,84554.75
rbf_riblt,0.75,89263.2,50.94615894364425,89264.0,10,89307.75,89214.5
rbf_riblt,0.8,91666.3,40.79229230027595,91660.5,10,91698.25,91632.75
rbf_riblt,0.85,95933.9,61.934463570597984,95931.0,10,95966.75,95909.5
rbf_riblt,0.9,97365.1,42.29644061725351,97360.0,10,97404.5,97341.0
rbf_riblt,0.95,98712.0,26.92376067507737,98706.5,10,98725.25,98689.25
rbf_riblt,0.97,99233.7,17.732894731417442,99234.0,10,99245.75,99229.0
rbf_riblt,0.99,99752.3,11.662380164917954,99751.5,10,99755.75,99750.25
rbf_riblt,1.0,100000.0,0.0,100000.0,10,100000.0,100000.0
