run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_merkle_n100000_sim00_t1,merkle,1,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t2,merkle,2,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t3,merkle,3,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t4,merkle,4,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim00_t5,merkle,5,0,131952354.0,131952354.0,0.0
sweep_merkle_n100000_sim05_t1,merkle,1,0.05,119524176.0,119524176.0,0.05
sweep_merkle_n100000_sim05_t2,merkle,2,0.05,119524176.0,119524176.0,0.05
sweep_merkle_n100000_sim05_t3,merkle,3,0.05,119524176.0,119524176.0,0.05
sweep_merkle_n100000_sim05_t4,merkle,4,0.05,119524176.0,119524176.0,0.05
sweep_merkle_n100000_sim05_t5,merkle,5,0.05,119524176.0,119524176.0,0.05
sweep_merkle_n100000_sim100_t1,merkle,1,1,100.0,100.0,1.0
sweep_merkle_n100000_sim100_t2,merkle,2,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t3,merkle,3,1,100.0,100.0,1.0
sweep_merkle_n100000_sim100_t4,merkle,4,1,100.0,100.0,1.0
sweep_merkle_n100000_sim100_t5,merkle,5,1,100.0,100.0,1.0
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t2,merkle,2,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t3,merkle,3,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t4,merkle,4,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim20_t5,merkle,5,0.2,88213868.0,88213868.0,0.2
sweep_merkle_n100000_sim30_t1,merkle,1,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t2,merkle,2,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t3,merkle,3,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t4,merkle,4,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim30_t5,merkle,5,0.3,71265474.0,71265474.0,0.3
sweep_merkle_n100000_sim40_t1,merkle,1,0.4,56769936.0,56769936.0,0.4
sweep_merkle_n100000_sim40_t2,merkle,2,0.4,56769936.0,56769936.0,0.4
